Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
Activemq,org.apache.activemq.transport.amqp.AmqpFrameParser,AmqpFrameParser,Public Class,10,1,6,0,2,7,1,44,0,3,145,27,0.19,10,10,32,41,0,0,89,65,10,6,216,3,1,1,10,83,80,4,0,6,64,98,15,No
Activemq,org.apache.activemq.transport.amqp.AmqpFrameParser.(Anon_3),(Anon_3),Anonymous Class,2,1,10,0,2,11,2,5,0,0,21,0,0,7,7,3,5,0,0,17,12,2,1,26,3,1,2,2,0,0,0,0,2,10,14,4,No
Activemq,org.apache.activemq.transport.amqp.AmqpFrameParser.(Anon_4),(Anon_4),Anonymous Class,2,1,10,0,3,11,2,5,0,0,23,0,0,4,4,1,4,0,0,18,11,2,2,28,4,1,3,2,0,0,0,0,2,10,15,5,No
Activemq,org.apache.activemq.transport.amqp.AmqpFrameParser.(Anon_5),(Anon_5),Anonymous Class,2,1,12,2,3,15,2,5,0,0,25,4,0.16,6,6,2,4,0,0,20,14,2,1,34,4,1,2,2,0,0,0,0,2,12,17,5,No
Activemq,org.apache.activemq.transport.amqp.AmqpFrameParser.AmqpFrameParser.(Anon_1),(Anon_1),Anonymous Class,1,0,4,0,1,4,2,1,0,0,5,0,0,3,3,0,1,0,0,4,1,1,0,6,1,1,0,1,0,0,0,0,1,1,2,1,No
Activemq,org.apache.activemq.transport.amqp.AmqpFrameParser.setWireFormat.(Anon_2),(Anon_2),Anonymous Class,1,0,4,0,1,4,2,1,0,0,5,0,0,2,2,0,1,0,0,4,1,1,0,6,1,1,0,1,0,0,0,0,1,1,2,1,No
Activemq,org.apache.activemq.transport.tcp.TcpTransport,TcpTransport,Public Class,91,0,7,2,2,10,4,85,0,1,467,165,0.35,41,41,125,115,0,6,266,205,58,32,715,10,4,4,58,95,92,1,9,48,196,306,103,No
Activemq,org.apache.activemq.util.IOExceptionSupport,IOExceptionSupport,Public Final Class,9,0,5,0,1,6,1,12,8,0,50,16,0.32,6,6,18,18,0,0,28,26,1,0,78,4,1,1,9,0,0,4,0,5,24,37,12,No
Activemq,org.apache.activemq.transport.amqp.AmqpWireFormat,AmqpWireFormat,Public Class,25,0,6,1,1,7,2,37,0,9,164,42,0.26,21,21,64,58,0,0,91,69,25,10,243,5,1,3,25,91,90,0,0,25,78,117,37,No
Activemq,org.apache.activemq.transport.amqp.AmqpHeader,AmqpHeader,Public Class,16,0,4,0,1,4,1,18,0,1,66,20,0.3,5,5,22,22,0,0,27,27,16,1,104,3,1,2,16,25,0,0,0,16,26,46,19,No
Activemq,org.apache.activemq.transport.TransportSupport,TransportSupport,Public Abstract Class,28,0,4,1,1,6,2,17,0,1,70,43,0.61,10,10,20,20,0,7,29,27,16,1,130,3,2,2,16,75,75,0,1,15,22,45,22,No
Activemq,org.apache.activemq.transport.amqp.AmqpInactivityMonitor,AmqpInactivityMonitor,Public Class,39,0,9,1,2,10,1,27,0,6,172,22,0.13,17,17,37,37,0,0,103,85,11,8,221,4,2,3,11,85,77,1,0,10,68,111,23,No
Activemq,org.apache.activemq.transport.amqp.AmqpInactivityMonitor.(Anon_1),(Anon_1),Anonymous Class,1,1,21,0,4,22,1,3,0,0,23,0,0,4,4,2,4,0,0,18,10,1,1,26,4,2,3,1,0,0,0,0,1,7,12,4,No
Activemq,org.apache.activemq.transport.amqp.AmqpInactivityMonitor.(Anon_1).run.(Anon_2),(Anon_2),Anonymous Class,1,0,5,0,1,5,1,0,0,0,6,0,0,5,5,0,1,0,0,5,1,1,0,6,1,2,0,1,0,0,0,0,1,1,2,1,No
Activemq,org.apache.activemq.transport.amqp.AmqpInactivityMonitor.(Anon_3),(Anon_3),Anonymous Class,1,0,31,0,4,31,1,1,0,0,32,0,0,3,3,2,3,0,0,23,14,1,0,33,4,2,3,1,0,0,0,0,1,7,16,4,No
Activemq,org.apache.activemq.transport.amqp.AmqpInactivityMonitor.(Anon_3).run.(Anon_4),(Anon_4),Anonymous Class,1,0,17,0,4,17,1,0,0,0,18,0,0,8,8,1,2,0,0,13,8,1,0,18,4,2,3,1,0,0,0,0,1,4,9,4,No
Activemq,org.apache.activemq.transport.amqp.AmqpInactivityMonitor.(Anon_5),(Anon_5),Anonymous Class,1,0,6,0,1,6,1,0,0,0,7,0,0,3,3,2,2,0,0,6,3,1,0,7,1,2,0,1,0,0,0,0,1,3,4,1,No
Activemq,org.apache.activemq.thread.SchedulerTimerTask,SchedulerTimerTask,Public Class,2,0,7,6,2,12,1,3,0,1,16,31,1.94,5,5,5,5,0,0,9,7,2,1,50,3,2,1,2,0,0,0,0,2,7,11,4,No
Activemq,org.apache.activemq.transport.AbstractInactivityMonitor,AbstractInactivityMonitor,Public Abstract Class,66,1,9,0,2,10,1,81,5,6,421,33,0.08,27,27,88,93,2,2,262,208,33,22,535,11,2,4,38,93,88,10,5,21,176,278,75,No
Activemq,org.apache.activemq.transport.InactivityIOException,InactivityIOException,Public Class,2,0,3,2,1,5,1,5,0,1,9,28,3.11,1,1,4,4,0,0,3,2,2,0,42,1,2,0,2,0,0,0,0,2,3,6,2,No
Activemq,org.apache.activemq.transport.TransportFilter,TransportFilter,Public Class,28,0,4,1,1,5,3,28,0,0,128,34,0.27,9,9,57,31,0,19,38,37,28,2,190,3,1,1,28,46,46,0,0,28,35,68,32,No
Activemq,org.apache.activemq.transport.amqp.AmqpNioSslTransport,AmqpNioSslTransport,Public Class,131,0,7,0,2,7,1,12,0,0,50,19,0.38,13,13,14,10,0,0,25,26,7,1,81,4,7,3,7,43,29,0,4,3,22,35,12,No
Activemq,org.apache.activemq.transport.nio.NIOSSLTransport,NIOSSLTransport,Public Class,124,2,15,1,4,19,1,87,0,1,394,54,0.14,41,41,71,67,0,4,262,218,25,15,535,16,6,5,25,89,86,0,9,16,178,272,93,No
Activemq,org.apache.activemq.transport.tcp.TcpTransport.InitBuffer,InitBuffer,Public Static Class,1,0,7,0,2,7,1,1,0,0,11,0,0,2,2,4,4,0,0,4,4,1,2,12,2,1,1,1,0,0,0,0,1,5,8,2,No
Activemq,org.apache.activemq.transport.amqp.AmqpNioSslTransportFactory,AmqpNioSslTransportFactory,Public Class,48,0,10,0,2,10,1,6,0,0,41,16,0.39,19,19,13,9,0,0,19,13,4,1,63,3,5,2,4,75,75,0,2,2,11,21,6,No
Activemq,org.apache.activemq.transport.amqp.AmqpNioSslTransportFactory.createTcpTransportServer.(Anon_1),(Anon_1),Anonymous Class,87,0,6,0,2,6,1,1,0,0,13,0,0,8,8,1,3,0,0,10,5,2,0,14,2,5,1,2,0,0,0,1,1,4,7,3,No
Activemq,org.apache.activemq.broker.SslContext,SslContext,Public Class,22,0,4,0,1,4,1,12,2,1,97,19,0.2,12,12,33,33,0,3,42,39,20,7,128,4,1,3,22,86,82,0,0,22,38,67,27,No
Activemq,org.apache.activemq.transport.tcp.TcpTransportServer,TcpTransportServer,Public Class,85,1,8,2,2,10,2,93,0,1,464,123,0.27,48,48,123,111,0,10,275,219,52,24,680,17,4,8,52,95,89,3,7,42,192,307,110,No
Activemq,org.apache.activemq.transport.amqp.AmqpNioTransportFactory,AmqpNioTransportFactory,Public Class,44,1,6,0,1,7,2,14,0,0,54,20,0.37,25,25,25,15,0,1,23,19,8,1,88,2,4,1,8,75,75,0,4,4,19,30,9,No
Activemq,org.apache.activemq.transport.amqp.AmqpNioTransport,AmqpNioTransport,Public Class,99,1,11,1,2,13,1,23,0,1,96,23,0.24,24,24,20,19,0,0,61,49,8,5,142,6,5,3,8,70,65,1,4,3,43,64,17,No
Activemq,org.apache.activemq.transport.amqp.AmqpNioTransport.initializeStreams.(Anon_1),(Anon_1),Anonymous Class,2,0,8,0,2,8,2,1,0,0,16,0,0,8,8,0,2,0,0,12,6,2,0,17,2,1,1,2,0,0,0,0,2,4,8,4,No
Activemq,org.apache.activemq.transport.nio.NIOOutputStream,NIOOutputStream,Public Class,12,0,9,6,2,15,2,21,0,1,119,97,0.82,9,9,31,25,0,0,66,57,12,7,236,7,2,5,12,75,57,1,2,9,54,81,25,No
Activemq,org.apache.activemq.transport.nio.SelectorManager,SelectorManager,Public Final Class,20,0,4,0,1,5,1,28,7,1,98,24,0.24,17,17,36,37,1,0,48,38,13,4,150,4,1,3,20,88,88,8,1,10,41,67,26,No
Activemq,org.apache.activemq.transport.nio.SelectorSelection,SelectorSelection,Public Final Class,7,0,9,0,1,9,1,8,0,0,67,19,0.28,7,7,13,17,0,0,38,21,7,5,94,2,1,1,7,74,74,0,0,7,20,37,8,No
Activemq,org.apache.activemq.util.ServiceStopper,ServiceStopper,Public Class,6,0,7,2,2,9,1,7,0,0,45,35,0.78,9,9,11,12,0,0,23,20,6,1,87,3,1,2,6,67,17,0,1,5,16,29,13,No
Activemq,org.apache.activemq.util.ServiceSupport,ServiceSupport,Public Abstract Class,12,0,6,2,2,8,2,13,1,1,69,43,0.62,8,8,20,22,0,13,40,35,11,4,125,4,1,2,12,70,70,0,4,8,31,51,16,No
Activemq,org.apache.activemq.transport.amqp.AmqpNioTransportFactory.createTcpTransportServer.(Anon_1),(Anon_1),Anonymous Class,86,0,4,0,1,4,1,0,0,0,5,0,0,6,6,0,1,0,0,4,1,1,0,5,1,5,0,1,0,0,0,1,0,1,2,1,No
Activemq,org.apache.activemq.broker.BrokerService,BrokerService,Public Class,289,0,7,2,2,9,2,375,0,10,2241,557,0.25,142,142,563,596,0,6,1309,1094,289,113,3164,18,1,7,289,99,94,12,34,243,972,1560,549,No
Activemq,org.apache.activemq.transport.MutexTransport,MutexTransport,Public Class,38,0,7,0,1,7,1,11,0,0,71,19,0.27,6,6,19,13,0,0,36,30,10,2,101,2,2,2,10,50,50,0,0,10,25,42,11,No
Activemq,org.apache.activemq.transport.nio.NIOTransportFactory,NIOTransportFactory,Public Class,36,1,15,0,1,17,1,12,0,0,79,16,0.2,13,13,20,23,0,6,52,31,5,0,107,1,3,0,5,0,0,0,4,1,31,46,5,No
Activemq,org.apache.activemq.util.IntrospectionSupport,IntrospectionSupport,Public Final Class,17,2,16,1,4,19,1,48,16,1,279,32,0.11,25,25,58,67,0,0,188,170,1,0,359,10,1,4,17,0,0,3,1,13,123,200,73,No
Activemq,org.apache.activemq.transport.amqp.AmqpTransportFilter,AmqpTransportFilter,Public Class,55,0,6,0,2,6,2,30,0,3,179,22,0.12,17,17,58,41,0,0,87,73,27,5,231,4,2,2,27,76,75,0,0,27,66,110,41,No
Activemq,org.apache.activemq.transport.amqp.AmqpProtocolDiscriminator,AmqpProtocolDiscriminator,Public Class,6,1,7,0,2,8,2,17,0,2,73,21,0.29,10,10,24,22,0,0,37,26,6,3,111,6,1,3,6,61,61,0,0,6,26,45,11,No
Activemq,org.apache.activemq.transport.amqp.AmqpProtocolDiscriminator.(Anon_1),(Anon_1),Anonymous Class,2,0,8,0,3,8,2,2,0,0,16,0,0,6,6,0,2,0,0,12,5,2,0,18,4,1,2,2,0,0,0,0,2,3,7,5,No
Activemq,org.apache.activemq.transport.amqp.protocol.AmqpConnection,AmqpConnection,Public Class,42,1,13,1,3,15,2,111,0,6,578,65,0.11,84,84,125,124,14,0,401,321,42,18,750,13,1,3,42,92,85,5,12,11,281,399,109,No
Activemq,org.apache.activemq.transport.amqp.AmqpProtocolException,AmqpProtocolException,Public Class,8,0,3,0,1,3,1,10,0,1,32,16,0.5,2,2,12,12,0,0,12,11,8,2,58,1,2,0,8,75,13,0,0,8,14,23,8,No
Activemq,org.apache.activemq.transport.amqp.AmqpSslTransportFactory,AmqpSslTransportFactory,Public Class,43,1,7,0,1,8,2,11,0,0,36,20,0.56,14,14,18,11,0,0,16,15,5,1,67,2,4,1,5,60,60,0,2,3,15,22,6,No
Activemq,org.apache.activemq.transport.tcp.SslTransportFactory,SslTransportFactory,Public Class,38,1,11,5,2,16,1,12,0,1,77,57,0.74,30,30,29,21,0,4,46,39,7,0,146,3,3,2,7,0,0,0,4,3,33,48,14,No
Activemq,org.apache.activemq.transport.amqp.AmqpSupport,AmqpSupport,Public Class,7,2,13,10,4,24,1,24,7,22,112,77,0.69,16,16,36,39,0,0,78,69,0,0,213,7,1,4,7,0,0,0,0,7,54,84,26,No
Activemq,org.apache.activemq.command.ActiveMQDestination,ActiveMQDestination,Public Abstract Class,42,0,9,0,3,10,5,55,5,15,330,32,0.1,34,34,85,79,0,5,200,167,30,6,413,12,2,4,35,87,77,0,2,33,145,231,90,No
Activemq,org.apache.activemq.transport.amqp.AmqpTransportFactory,AmqpTransportFactory,Public Class,36,1,7,0,1,8,2,11,0,0,36,20,0.56,14,14,18,11,0,0,16,15,5,1,67,2,3,1,5,60,60,0,2,3,15,22,6,No
Activemq,org.apache.activemq.transport.tcp.TcpTransportFactory,TcpTransportFactory,Public Class,31,1,8,3,2,11,1,21,0,1,88,45,0.51,32,32,30,25,0,8,51,47,11,0,154,5,2,3,11,0,0,0,7,4,40,60,19,No
Activemq,org.apache.activemq.transport.tcp.SslTransport,SslTransport,Public Class,99,1,8,9,2,18,1,17,0,0,66,88,1.33,20,20,21,15,0,3,33,28,8,1,170,6,5,2,8,75,75,0,1,7,24,41,16,No
Activemq,org.apache.activemq.transport.amqp.message.InboundTransformer,InboundTransformer,Public Abstract Class,6,5,60,1,19,66,1,21,0,3,189,2,0.01,33,33,32,34,0,2,136,122,6,0,212,39,1,4,6,0,0,1,2,3,78,138,56,No
Activemq,org.apache.activemq.util.ByteArrayInputStream,ByteArrayInputStream,Public Class,11,0,5,0,1,5,1,12,0,0,63,20,0.32,2,2,16,16,0,0,30,27,11,4,95,3,2,2,11,59,34,0,0,11,26,43,16,No
Activemq,org.apache.activemq.util.ByteArrayOutputStream,ByteArrayOutputStream,Public Class,10,0,5,0,1,6,1,10,0,0,56,25,0.45,1,1,19,19,0,0,28,23,10,2,91,4,2,2,10,25,20,1,0,9,26,41,14,No
