Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
Cassandra,org.apache.cassandra.triggers.AuditTrigger,AuditTrigger,Public Class,2,2,15,0,2,17,2,5,1,0,34,17,0.5,17,17,10,10,0,0,19,14,1,1,56,2,1,1,2,50,50,1,0,1,13,17,3,No
Cassandra,org.apache.cassandra.schema.TableMetadata,TableMetadata,Public Class,62,1,9,1,2,12,2,249,6,1,1080,143,0.13,53,53,250,228,6,1,547,429,56,18,1469,14,1,3,62,89,78,7,2,47,386,604,133,Yes
Cassandra,org.apache.cassandra.schema.Schema,Schema,Public Final Class,79,1,7,2,1,9,2,137,2,1,556,192,0.35,66,66,132,124,4,0,282,247,77,6,885,4,1,1,79,90,78,33,0,42,236,338,156,No
Cassandra,org.apache.cassandra.db.Mutation,Mutation,Public Class,26,0,8,1,2,8,2,58,3,1,292,73,0.25,39,39,80,90,0,0,135,126,23,9,423,10,1,3,26,88,79,1,0,25,123,196,51,No
Cassandra,org.apache.cassandra.db.partitions.PartitionUpdate,PartitionUpdate,Public Class,56,0,9,5,2,14,1,87,14,2,500,312,0.62,48,48,155,131,0,0,213,159,13,4,899,9,2,4,27,88,47,2,2,23,166,266,56,No
Cassandra,org.apache.cassandra.io.util.FileUtils,FileUtils,Public Final Class,64,0,11,2,2,13,1,108,63,14,786,149,0.19,63,63,140,138,0,0,350,295,1,0,1041,7,1,3,64,99,99,3,0,61,231,399,151,No
Cassandra,org.apache.cassandra.utils.FBUtilities,FBUtilities,Public Class,68,0,12,2,2,14,1,93,68,16,836,130,0.16,94,94,150,160,1,0,410,329,0,0,1058,6,1,5,68,96,95,1,0,66,263,442,155,No
Cassandra,org.apache.cassandra.utils.UUIDGen,UUIDGen,Public Class,30,0,8,4,2,12,1,45,27,7,245,138,0.56,28,28,70,72,0,0,126,113,3,1,424,5,1,3,30,97,90,11,0,19,117,166,49,No
Cassandra,org.apache.cassandra.db.DecoratedKey,DecoratedKey,Public Abstract Class,13,0,6,0,2,6,3,18,1,1,81,14,0.17,10,10,27,24,0,2,33,29,12,1,111,4,1,1,13,83,42,0,0,13,29,48,20,No
Cassandra,org.apache.cassandra.db.marshal.AbstractType,AbstractType,Public Abstract Generic Class,61,0,5,2,1,8,3,75,3,0,335,144,0.43,37,37,83,80,1,21,125,110,58,4,552,5,1,2,61,97,96,0,2,58,99,179,83,No
