Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
Cayenne,org.apache.cayenne.test.file.FileUtil,FileUtil,Public Final Class,2,2,10,3,4,15,1,13,2,3,41,24,0.59,3,3,10,10,0,0,24,21,0,0,78,6,1,3,2,0,0,0,0,2,15,28,7,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper,DBHelper,Public Class,22,3,11,1,2,14,1,88,0,0,236,36,0.15,18,18,47,68,0,1,154,110,22,1,360,10,1,6,22,91,86,0,1,21,102,159,38,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getBoolean.(Anon_11),(Anon_11),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,5,5,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getByte.(Anon_6),(Anon_6),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,5,5,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getBytes.(Anon_7),(Anon_7),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,4,4,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getDouble.(Anon_10),(Anon_10),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,5,5,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getInt.(Anon_8),(Anon_8),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,5,5,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getLong.(Anon_9),(Anon_9),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,5,5,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getObject.(Anon_5),(Anon_5),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,4,4,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getRowCount.(Anon_3),(Anon_3),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,5,5,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
Cayenne,org.apache.cayenne.test.jdbc.DBHelper.getSqlDate.(Anon_12),(Anon_12),Anonymous Class,7,0,4,0,1,4,1,1,0,0,5,0,0,5,5,0,1,1,0,4,1,1,0,6,1,3,0,1,0,0,0,0,0,1,2,1,No
