Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.mahout.h2obindings.drm.H2OBCast,H2OBCast,Public Generic Class,5.0,0.0,10.0,5.0,2.0,15.0,3.0,7.0,0.0,0.0,55.0,38.0,0.69,12.0,12.0,16.0,15.0,0.0,0.0,34.0,29.0,5.0,3.0,100.0,3.0,1.0,2.0,5.0,60.0,53.0,2.0,0.0,3.0,27.0,39.0,11.0,No
org.apache.mahout.math.MatrixWritable,MatrixWritable,Public Class,10.0,1.0,14.0,0.0,3.0,15.0,2.0,22.0,4.0,5.0,148.0,19.0,0.13,16.0,16.0,48.0,50.0,0.0,0.0,96.0,85.0,6.0,1.0,189.0,9.0,1.0,2.0,10.0,50.0,50.0,0.0,0.0,10.0,82.0,119.0,34.0,No
org.apache.mahout.math.VectorWritable,VectorWritable,Public Final Class,23.0,0.0,8.0,1.0,2.0,9.0,2.0,32.0,9.0,5.0,193.0,28.0,0.15,14.0,14.0,70.0,70.0,0.0,0.0,118.0,91.0,14.0,2.0,253.0,13.0,2.0,4.0,23.0,76.0,59.0,1.0,0.0,22.0,95.0,141.0,52.0,No
org.apache.mahout.h2obindings.drm.H2ODrm,H2ODrm,Public Class,2.0,0.0,4.0,3.0,1.0,7.0,1.0,2.0,0.0,0.0,12.0,11.0,0.92,2.0,2.0,5.0,5.0,0.0,0.0,4.0,4.0,2.0,2.0,25.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,2.0,No
org.apache.mahout.h2obindings.H2OBlockMatrix,H2OBlockMatrix,Public Class,59.0,0.0,8.0,1.0,2.0,9.0,1.0,11.0,0.0,0.0,74.0,21.0,0.28,5.0,5.0,19.0,14.0,0.0,0.0,37.0,34.0,9.0,2.0,106.0,5.0,2.0,2.0,9.0,33.0,17.0,1.0,0.0,8.0,29.0,48.0,18.0,No
org.apache.mahout.math.AbstractMatrix,AbstractMatrix,Public Abstract Class,50.0,0.0,10.0,1.0,3.0,11.0,2.0,95.0,0.0,2.0,641.0,68.0,0.11,27.0,27.0,216.0,193.0,0.0,14.0,336.0,330.0,50.0,4.0,802.0,8.0,1.0,5.0,50.0,91.0,62.0,0.0,1.0,49.0,306.0,465.0,129.0,No
org.apache.mahout.math.DenseMatrix,DenseMatrix,Public Class,67.0,0.0,7.0,1.0,2.0,9.0,1.0,19.0,0.0,0.0,126.0,41.0,0.33,8.0,8.0,36.0,30.0,0.0,0.0,60.0,61.0,17.0,1.0,186.0,5.0,2.0,2.0,17.0,35.0,18.0,0.0,0.0,17.0,55.0,90.0,34.0,No
org.apache.mahout.math.SparseMatrix,SparseMatrix,Public Class,68.0,0.0,10.0,1.0,2.0,11.0,1.0,21.0,0.0,0.0,177.0,30.0,0.17,17.0,17.0,49.0,44.0,0.0,0.0,99.0,90.0,18.0,1.0,228.0,6.0,2.0,3.0,18.0,28.0,11.0,0.0,0.0,18.0,72.0,120.0,43.0,No
org.apache.mahout.h2obindings.H2OContext,H2OContext,Public Class,1.0,0.0,4.0,8.0,1.0,12.0,1.0,0.0,0.0,0.0,6.0,11.0,1.83,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,17.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,No
org.apache.mahout.h2obindings.H2OHdfs,H2OHdfs,Public Class,4.0,5.0,37.0,7.0,8.0,48.0,1.0,21.0,4.0,0.0,150.0,29.0,0.19,28.0,28.0,39.0,42.0,0.0,0.0,111.0,91.0,0.0,0.0,200.0,20.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,82.0,115.0,31.0,No
org.apache.mahout.math.DenseVector,DenseVector,Public Class,83.0,0.0,6.0,1.0,2.0,7.0,1.0,68.0,0.0,0.0,319.0,51.0,0.16,13.0,13.0,111.0,83.0,0.0,0.0,157.0,132.0,30.0,1.0,433.0,4.0,2.0,2.0,30.0,43.0,33.0,0.0,2.0,28.0,127.0,204.0,45.0,No
org.apache.mahout.math.SequentialAccessSparseVector,SequentialAccessSparseVector,Public Class,79.0,0.0,5.0,1.0,1.0,6.0,1.0,55.0,0.0,0.0,251.0,64.0,0.25,14.0,14.0,101.0,71.0,0.0,0.0,97.0,90.0,26.0,1.0,369.0,3.0,2.0,2.0,26.0,50.0,42.0,2.0,1.0,23.0,90.0,156.0,34.0,No
org.apache.mahout.h2obindings.H2OHelper,H2OHelper,Public Class,15.0,2.0,16.0,9.0,2.0,27.0,1.0,46.0,15.0,0.0,238.0,141.0,0.59,21.0,21.0,85.0,96.0,0.0,0.0,123.0,130.0,0.0,0.0,424.0,7.0,1.0,3.0,15.0,0.0,0.0,2.0,0.0,13.0,133.0,203.0,36.0,No
org.apache.mahout.h2obindings.H2OHelper.allreduceBlock.MRTaskMR,MRTaskMR,Class,3.0,0.0,5.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,19.0,0.0,0.0,8.0,8.0,11.0,9.0,0.0,0.0,6.0,4.0,3.0,3.0,22.0,1.0,2.0,0.0,3.0,33.0,33.0,0.0,0.0,3.0,9.0,13.0,3.0,No
org.apache.mahout.h2obindings.H2OHelper.colSums.MRTaskSum,MRTaskSum,Class,2.0,1.0,7.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,16.0,3.0,0.19,2.0,2.0,6.0,6.0,0.0,0.0,5.0,7.0,2.0,1.0,20.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0,13.0,4.0,No
