Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
hsqldb,org.hsqldb.cmdline.utilclone.RCData,RCData,Unknown Class,13,2,8,0,2,13,1,30,0,0,90.5,11,0.1,8,8,25,22,0,0,55,44,7,2,148.5,5,2,2,8,50,37.5,0,0,5,42,63,19,No
hsqldb,org.hsqldb.sample.SqlFileEmbedder,SqlFileEmbedder,Public Class,4,1,12,11,2,23,1,6,1,0,50,58,1.16,11,11,13,13,0,0,30,26,3,1,114,4,1,2,4,25,0,0,0,4,25,37,9,No
hsqldb,org.hsqldb.cmdline.SqlFile,SqlFile,Public Class,94,5,48,11,13,64,1,641,19,72,4767,1217,0.26,85,85,729,649,1,0,3903,2738,75,52,6554,144,1,11,94,96,89,56,2,35,2206,3183,1214,No
hsqldb,org.hsqldb.cmdline.SqlToolError,SqlToolError,Public Class,4,0,3,0,1,3,1,5,0,1,14,11,0.79,2,2,6,6,0,3,4,3,4,0,30,1,2,0,4,0,0,0,0,4,4,9,4,No
hsqldb,org.hsqldb.sample.Testdb,Testdb,Public Class,6,5,12,10,2,23,1,35,2,0,73,72,0.99,8,8,18,18,0,0,51,37,4,1,162,4,1,2,6,33,17,0,0,6,40,51,12,No
hsqldb,org.hsqldb.sample.TriggerSample,TriggerSample,Public Class,16,3,16,2,4,20,2,61,15,12,270,104,0.39,15,15,56,46,0,0,201,147,1,0,434,10,1,3,16,0,0,8,0,8,145,177,58,No
hsqldb,org.hsqldb.error.Error,Error,Public Final Class,18,2,8,4,2,13,1,62,18,9,149,73,0.49,10,10,55,48,0,0,91,69,0,0,284,4,1,3,18,97,97,2,0,16,67,101,36,Yes
hsqldb,org.hsqldb.lib.StringUtil,StringUtil,Public Class,13,5,15,8,4,28,1,79,13,0,195,110,0.56,4,4,48,52,0,0,128,128,0,0,384,7,1,2,13,0,0,0,0,13,112,158,49,Yes
hsqldb,org.hsqldb.server.Servlet,Servlet,Public Class,4,9,35,4,5,47,1,43,0,2,148,51,0.34,20,20,40,33,0,0,113,91,4,3,237,9,2,3,4,44,44,0,1,3,82,104,21,No
hsqldb,org.hsqldb.DatabaseManager,DatabaseManager,Public Class,19,5,15,4,3,24,1,119,19,7,295,107,0.36,23,23,73,66,2,0,191,158,0,0,521,9,1,5,19,95,79,5,0,12,132,198,56,Yes
