Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.jackrabbit.firsthops.FirstHop,FirstHop,Public Class,1.0,0.0,12.0,8.0,1.0,20.0,1.0,1.0,1.0,0.0,14.0,12.0,0.86,5.0,5.0,6.0,6.0,0.0,0.0,9.0,7.0,0.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,1.0,No
org.apache.jackrabbit.core.TransientRepository,TransientRepository,Public Class,25.0,0.0,8.0,6.0,2.0,15.0,3.0,41.0,0.0,5.0,186.0,185.0,0.99,21.0,21.0,48.0,41.0,1.0,0.0,112.0,75.0,20.0,5.0,412.0,3.0,2.0,2.0,20.0,77.0,72.0,2.0,0.0,17.0,70.0,110.0,30.0,No
org.apache.jackrabbit.firsthops.SecondHop,SecondHop,Public Class,1.0,3.0,19.0,11.0,1.0,33.0,1.0,5.0,1.0,0.0,21.0,14.0,0.67,6.0,6.0,9.0,8.0,0.0,0.0,16.0,14.0,0.0,0.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,16.0,1.0,No
org.apache.jackrabbit.firsthops.ThirdHop,ThirdHop,Public Class,2.0,3.0,22.0,9.0,4.0,34.0,1.0,9.0,2.0,0.0,46.0,22.0,0.48,11.0,11.0,13.0,13.0,0.0,0.0,33.0,28.0,0.0,0.0,77.0,6.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,22.0,32.0,8.0,No
org.apache.jackrabbit.api.observation.JackrabbitEventFilter,JackrabbitEventFilter,Public Class,20.0,0.0,4.0,6.0,1.0,10.0,1.0,20.0,0.0,0.0,81.0,187.0,2.31,1.0,1.0,31.0,31.0,0.0,0.0,32.0,30.0,20.0,10.0,287.0,2.0,1.0,0.0,20.0,90.0,90.0,0.0,0.0,20.0,40.0,61.0,22.0,No
org.apache.jackrabbit.api.ReferenceBinaryException,ReferenceBinaryException,Public Class,1.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,No
org.apache.jackrabbit.api.security.authentication.token.TokenCredentials,TokenCredentials,Public Final Class,6.0,0.0,6.0,7.0,2.0,13.0,2.0,9.0,0.0,0.0,39.0,47.0,1.21,3.0,3.0,9.0,9.0,0.0,0.0,18.0,18.0,6.0,2.0,95.0,3.0,1.0,1.0,6.0,50.0,50.0,0.0,0.0,6.0,12.0,26.0,9.0,No
org.apache.jackrabbit.api.security.user.AuthorizableExistsException,AuthorizableExistsException,Public Class,1.0,0.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,15.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,No
org.apache.jackrabbit.api.security.user.QueryBuilder.Direction,Direction,Enum Type,4.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,11.0,3.0,0.27,1.0,1.0,6.0,4.0,1.0,0.0,2.0,2.0,4.0,3.0,17.0,1.0,1.0,0.0,4.0,,,0.0,0.0,3.0,4.0,6.0,2.0,No
org.apache.jackrabbit.api.stats.RepositoryStatistics.Type,Type,Enum Type,5.0,0.0,3.0,0.0,1.0,3.0,1.0,18.0,1.0,0.0,41.0,58.0,1.41,2.0,2.0,31.0,6.0,1.0,0.0,7.0,5.0,4.0,26.0,117.0,2.0,1.0,1.0,5.0,,,0.0,0.0,4.0,7.0,11.0,4.0,No
org.apache.jackrabbit.aws.ext.ds.S3Backend,S3Backend,Public Class,21.0,1.0,25.0,2.0,4.0,28.0,2.0,64.0,3.0,7.0,630.0,73.0,0.12,48.0,48.0,172.0,136.0,0.0,0.0,453.0,316.0,18.0,7.0,767.0,12.0,1.0,5.0,21.0,73.0,67.0,5.0,0.0,16.0,272.0,382.0,92.0,No
org.apache.jackrabbit.aws.ext.ds.S3Backend.AsyncUploadJob,AsyncUploadJob,Private Class,2.0,1.0,8.0,0.0,2.0,8.0,2.0,6.0,0.0,0.0,20.0,4.0,0.2,5.0,5.0,7.0,6.0,0.0,0.0,9.0,7.0,2.0,3.0,30.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,13.0,3.0,No
org.apache.jackrabbit.aws.ext.ds.S3Backend.KeyRenameThread,KeyRenameThread,Private Class,2.0,0.0,10.0,0.0,2.0,10.0,2.0,3.0,0.0,0.0,23.0,3.0,0.13,4.0,4.0,8.0,7.0,0.0,0.0,14.0,10.0,2.0,1.0,29.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,9.0,14.0,3.0,No
org.apache.jackrabbit.aws.ext.ds.S3Backend.S3UploadProgressListener,S3UploadProgressListener,Private Class,2.0,0.0,15.0,0.0,3.0,15.0,2.0,6.0,0.0,0.0,36.0,3.0,0.08,8.0,8.0,11.0,9.0,0.0,0.0,22.0,17.0,2.0,4.0,45.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,18.0,24.0,6.0,No
org.apache.jackrabbit.aws.ext.S3Constants,S3Constants,Public Final Class,1.0,1.0,2.0,3.0,1.0,6.0,1.0,14.0,0.0,11.0,15.0,39.0,2.6,1.0,1.0,13.0,13.0,0.0,0.0,11.0,0.0,1.0,0.0,68.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,13.0,1.0,No
org.apache.jackrabbit.aws.ext.Utils,Utils,Public Final Class,5.0,0.0,13.0,5.0,3.0,17.0,1.0,10.0,4.0,3.0,68.0,26.0,0.38,16.0,16.0,23.0,23.0,0.0,0.0,47.0,39.0,1.0,0.0,104.0,5.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,3.0,34.0,50.0,13.0,No
org.apache.jackrabbit.core.data.AsyncUploadResult,AsyncUploadResult,Public Class,5.0,0.0,3.0,0.0,1.0,3.0,1.0,7.0,0.0,0.0,22.0,13.0,0.59,3.0,3.0,9.0,9.0,0.0,0.0,7.0,7.0,5.0,3.0,42.0,1.0,1.0,0.0,5.0,60.0,60.0,0.0,0.0,5.0,10.0,16.0,5.0,No
org.apache.jackrabbit.core.data.CachingDataStore,CachingDataStore,Public Abstract Class,59.0,0.0,11.0,3.0,2.0,14.0,3.0,110.0,5.0,4.0,725.0,263.0,0.36,39.0,39.0,205.0,182.0,1.0,2.0,475.0,347.0,48.0,19.0,1097.0,12.0,2.0,4.0,53.0,92.0,90.0,10.0,3.0,39.0,320.0,467.0,114.0,No
org.apache.jackrabbit.core.data.DataIdentifier,DataIdentifier,Public Class,4.0,0.0,3.0,6.0,1.0,9.0,2.0,8.0,0.0,1.0,17.0,35.0,2.06,1.0,1.0,7.0,7.0,0.0,0.0,6.0,4.0,4.0,1.0,60.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,4.0,No
org.apache.jackrabbit.core.data.DataStoreException,DataStoreException,Public Class,3.0,0.0,3.0,6.0,1.0,9.0,1.0,4.0,0.0,0.0,11.0,21.0,1.91,2.0,2.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,0.0,36.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,3.0,No
org.apache.jackrabbit.core.data.util.NamedThreadFactory,NamedThreadFactory,Public Class,2.0,0.0,5.0,0.0,1.0,5.0,2.0,5.0,0.0,0.0,14.0,3.0,0.21,4.0,4.0,6.0,6.0,0.0,0.0,7.0,7.0,2.0,2.0,22.0,1.0,1.0,0.0,2.0,25.0,25.0,0.0,0.0,2.0,8.0,11.0,2.0,No
org.apache.jackrabbit.aws.ext.ds.S3DataStore,S3DataStore,Public Class,62.0,0.0,5.0,1.0,1.0,6.0,1.0,3.0,0.0,0.0,18.0,6.0,0.33,5.0,5.0,8.0,6.0,0.0,1.0,6.0,6.0,3.0,1.0,27.0,2.0,3.0,1.0,3.0,33.0,33.0,0.0,2.0,1.0,6.0,11.0,4.0,No
org.apache.jackrabbit.aws.ext.ds.S3TestDataStore,S3TestDataStore,Public Class,65.0,0.0,4.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,15.0,6.0,0.4,3.0,3.0,6.0,6.0,0.0,0.0,6.0,6.0,3.0,1.0,24.0,1.0,4.0,0.0,3.0,33.0,33.0,0.0,1.0,2.0,7.0,11.0,3.0,No
org.apache.jackrabbit.aws.ext.ds.TestS3Ds,TestS3Ds,Public Class,33.0,0.0,11.0,1.0,2.0,12.0,1.0,7.0,0.0,1.0,57.0,12.0,0.21,20.0,20.0,16.0,18.0,0.0,1.0,39.0,40.0,5.0,1.0,76.0,7.0,3.0,4.0,5.0,60.0,40.0,0.0,3.0,2.0,35.0,49.0,12.0,No
org.apache.jackrabbit.core.data.TestCaseBase,TestCaseBase,Public Abstract Class,28.0,1.0,16.0,3.0,2.0,20.0,1.0,62.0,0.0,3.0,454.0,128.0,0.28,27.0,27.0,120.0,117.0,2.0,3.0,348.0,266.0,28.0,7.0,644.0,7.0,2.0,4.0,28.0,80.0,45.0,0.0,16.0,10.0,265.0,329.0,58.0,No
org.apache.jackrabbit.aws.ext.ds.TestS3DsCacheOff,TestS3DsCacheOff,Public Class,34.0,0.0,5.0,0.0,1.0,5.0,1.0,2.0,0.0,1.0,8.0,6.0,0.75,2.0,2.0,3.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0,16.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,No
org.apache.jackrabbit.aws.ext.TestAll,TestAll,Public Class,1.0,0.0,10.0,6.0,2.0,16.0,1.0,2.0,1.0,1.0,13.0,9.0,0.69,8.0,8.0,5.0,5.0,0.0,0.0,8.0,8.0,0.0,0.0,24.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,2.0,No
