Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.pig.penny.apps.bt.BTCoordinator,BTCoordinator,Public Class,8.0,0.0,11.0,0.0,3.0,11.0,1.0,5.0,0.0,0.0,36.0,0.0,0.0,12.0,12.0,14.0,14.0,0.0,0.0,20.0,21.0,3.0,2.0,41.0,6.0,2.0,4.0,3.0,33.0,33.0,0.0,0.0,3.0,17.0,28.0,9.0,No
org.apache.pig.backend.executionengine.ExecException,ExecException,Public Class,52.0,0.0,3.0,7.0,1.0,10.0,1.0,12.0,0.0,1.0,43.0,81.0,1.88,2.0,2.0,18.0,14.0,0.0,0.0,13.0,12.0,12.0,0.0,136.0,1.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,13.0,26.0,12.0,No
org.apache.pig.penny.Coordinator,Coordinator,Public Abstract Class,5.0,0.0,3.0,0.0,1.0,3.0,1.0,11.0,0.0,0.0,12.0,13.0,1.08,3.0,3.0,7.0,7.0,0.0,14.0,2.0,2.0,5.0,1.0,36.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,2.0,No
org.apache.pig.penny.apps.bt.BTInjectTaintMonitorAgent,BTInjectTaintMonitorAgent,Public Class,12.0,0.0,5.0,0.0,1.0,5.0,1.0,8.0,0.0,0.0,26.0,2.0,0.08,9.0,9.0,15.0,10.0,0.0,0.0,9.0,8.0,5.0,1.0,35.0,1.0,2.0,0.0,5.0,80.0,80.0,0.0,0.0,5.0,9.0,15.0,5.0,No
org.apache.pig.data.DefaultTuple,DefaultTuple,Public Class,25.0,1.0,8.0,6.0,2.0,14.0,2.0,53.0,1.0,1.0,406.0,165.0,0.41,23.0,23.0,122.0,119.0,3.0,7.0,286.0,228.0,24.0,2.0,613.0,13.0,1.0,5.0,25.0,60.0,58.0,2.0,0.0,20.0,219.0,298.0,55.0,No
org.apache.pig.penny.MonitorAgent,MonitorAgent,Public Abstract Class,7.0,0.0,5.0,0.0,2.0,5.0,1.0,13.0,0.0,2.0,19.0,21.0,1.11,8.0,8.0,11.0,11.0,0.0,17.0,6.0,5.0,7.0,1.0,53.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,6.0,11.0,15.0,3.0,No
org.apache.pig.penny.Communicator,Communicator,Public Abstract Class,10.0,0.0,4.0,0.0,1.0,4.0,1.0,11.0,1.0,0.0,26.0,21.0,0.81,5.0,5.0,12.0,13.0,0.0,2.0,8.0,9.0,9.0,0.0,58.0,2.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,9.0,14.0,21.0,6.0,No
org.apache.pig.penny.apps.bt.BTMatchTaintMonitorAgent,BTMatchTaintMonitorAgent,Public Class,12.0,0.0,5.0,0.0,1.0,5.0,1.0,7.0,0.0,0.0,26.0,0.0,0.0,8.0,8.0,13.0,9.0,0.0,0.0,7.0,8.0,5.0,1.0,33.0,3.0,2.0,2.0,5.0,60.0,60.0,0.0,0.0,5.0,7.0,16.0,7.0,No
org.apache.pig.penny.apps.bt.BTPropagateTaintMonitorAgent,BTPropagateTaintMonitorAgent,Public Class,12.0,0.0,4.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,24.0,0.0,0.0,8.0,8.0,12.0,8.0,0.0,0.0,6.0,7.0,5.0,0.0,30.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,14.0,7.0,No
org.apache.pig.penny.apps.bt.Main,Main,Public Class,1.0,4.0,20.0,6.0,5.0,28.0,1.0,6.0,1.0,0.0,22.0,9.0,0.41,14.0,14.0,9.0,10.0,0.0,0.0,16.0,13.0,0.0,0.0,35.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,19.0,5.0,No
