Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.eclipse.cdt.autotools.core.AutotoolsNewProjectNature,AutotoolsNewProjectNature,Public Class,12.0,1.0,11.0,5.0,2.0,16.0,2.0,21.0,8.0,5.0,134.0,77.0,0.57,16.0,16.0,46.0,49.0,2.0,0.0,87.0,72.0,4.0,1.0,227.0,5.0,1.0,3.0,12.0,75.0,75.0,0.0,0.0,10.0,73.0,102.0,22.0,No
org.eclipse.cdt.autotools.core.AutotoolsNewProjectNature.addAutotoolsBuilder.(Anon_1),(Anon_1),Anonymous Class,1.0,4.0,36.0,2.0,2.0,42.0,1.0,4.0,0.0,0.0,37.0,2.0,0.05,8.0,8.0,8.0,12.0,0.0,0.0,31.0,20.0,1.0,0.0,43.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,26.0,2.0,No
org.eclipse.cdt.autotools.core.AutotoolsNewProjectNature.addAutotoolsBuilder.(Anon_1).run.(Anon_2),(Anon_2),Anonymous Class,3.0,0.0,8.0,1.0,1.0,9.0,1.0,3.0,0.0,0.0,26.0,2.0,0.08,9.0,9.0,6.0,10.0,0.0,0.0,22.0,16.0,3.0,1.0,31.0,2.0,2.0,1.0,3.0,33.0,0.0,0.0,2.0,1.0,16.0,20.0,4.0,No
org.eclipse.cdt.internal.autotools.core.AutotoolsConfigurationBuilder,AutotoolsConfigurationBuilder,Public Class,24.0,1.0,16.0,1.0,4.0,17.0,1.0,15.0,0.0,4.0,118.0,23.0,0.19,31.0,31.0,42.0,38.0,0.0,0.0,83.0,68.0,7.0,1.0,147.0,11.0,3.0,3.0,7.0,71.0,57.0,0.0,5.0,2.0,60.0,85.0,27.0,No
org.eclipse.cdt.managedbuilder.core.ManagedBuilderCorePlugin,ManagedBuilderCorePlugin,Public Class,16.0,0.0,6.0,5.0,2.0,11.0,1.0,28.0,10.0,10.0,108.0,139.0,1.29,26.0,26.0,38.0,34.0,0.0,0.0,62.0,52.0,6.0,0.0,262.0,6.0,2.0,2.0,16.0,88.0,75.0,1.0,0.0,15.0,49.0,76.0,25.0,No
org.eclipse.cdt.autotools.core.AutotoolsOptionConstants,AutotoolsOptionConstants,Public Class,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,45.0,47.0,68.0,1.45,1.0,1.0,46.0,46.0,0.0,0.0,45.0,0.0,0.0,0.0,71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,46.0,0.0,No
org.eclipse.cdt.autotools.core.AutotoolsPlugin,AutotoolsPlugin,Public Class,15.0,0.0,5.0,5.0,2.0,10.0,1.0,19.0,10.0,3.0,88.0,87.0,0.99,26.0,26.0,28.0,26.0,0.0,0.0,46.0,39.0,5.0,1.0,191.0,4.0,2.0,3.0,15.0,80.0,57.0,0.0,0.0,15.0,36.0,60.0,24.0,No
org.eclipse.cdt.internal.autotools.core.configure.AutotoolsConfigurationManager,AutotoolsConfigurationManager,Public Class,29.0,0.0,16.0,3.0,3.0,18.0,2.0,54.0,1.0,8.0,505.0,120.0,0.24,56.0,56.0,183.0,183.0,0.0,0.0,359.0,329.0,28.0,1.0,631.0,16.0,1.0,9.0,29.0,88.0,66.0,8.0,0.0,21.0,288.0,399.0,100.0,No
org.eclipse.cdt.managedbuilder.core.ManagedBuildManager,ManagedBuildManager,Public Class,207.0,1.0,13.0,6.0,4.0,20.0,1.0,448.0,197.0,65.0,2634.0,1537.0,0.58,173.0,173.0,625.0,668.0,3.0,0.0,1783.0,1437.0,0.0,0.0,4513.0,50.0,3.0,7.0,197.0,99.0,85.0,37.0,8.0,149.0,1093.0,1849.0,707.0,Yes
org.eclipse.cdt.managedbuilder.core.ManagedCProjectNature,ManagedCProjectNature,Public Class,12.0,0.0,9.0,4.0,2.0,14.0,2.0,18.0,8.0,3.0,116.0,82.0,0.71,15.0,15.0,40.0,41.0,0.0,0.0,72.0,71.0,4.0,1.0,211.0,6.0,1.0,3.0,12.0,75.0,75.0,0.0,0.0,12.0,70.0,96.0,25.0,No
