Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.karaf.audit.Activator,Activator,Public Class,47.0,0.0,20.0,0.0,5.0,20.0,2.0,30.0,0.0,32.0,446.0,2.0,0.0,50.0,50.0,119.0,119.0,0.0,0.0,332.0,178.0,11.0,4.0,478.0,10.0,2.0,5.0,11.0,70.0,61.0,9.0,2.0,0.0,184.0,260.0,52.0,No
org.apache.karaf.audit.Activator.EventImpl,EventImpl,Static Class,11.0,0.0,17.0,0.0,7.0,17.0,2.0,13.0,0.0,0.0,191.0,0.0,0.0,9.0,9.0,28.0,28.0,2.0,0.0,146.0,53.0,11.0,4.0,204.0,69.0,1.0,1.0,11.0,70.0,70.0,3.0,0.0,6.0,53.0,76.0,82.0,No
org.apache.karaf.audit.Activator.EventImpl.getFilterMap.(Anon_2),(Anon_2),Anonymous Class,2.0,0.0,10.0,0.0,3.0,10.0,1.0,1.0,0.0,0.0,21.0,0.0,0.0,5.0,5.0,1.0,3.0,0.0,0.0,18.0,8.0,2.0,0.0,22.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,6.0,No
org.apache.karaf.audit.Activator.EventImpl.keys.(lambda_expr_1).(Anon_1),(Anon_1),Anonymous Class,2.0,0.0,15.0,0.0,5.0,15.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,4.0,1.0,5.0,0.0,0.0,26.0,12.0,2.0,2.0,32.0,8.0,2.0,2.0,2.0,25.0,0.0,0.0,0.0,2.0,11.0,17.0,10.0,No
org.apache.karaf.audit.layout.GelfLayout,GelfLayout,Public Class,17.0,0.0,10.0,0.0,2.0,10.0,1.0,7.0,0.0,0.0,59.0,0.0,0.0,9.0,9.0,13.0,10.0,0.0,0.0,38.0,33.0,6.0,0.0,66.0,6.0,2.0,3.0,6.0,0.0,0.0,1.0,4.0,1.0,31.0,43.0,11.0,No
org.apache.karaf.audit.layout.Rfc3164Layout,Rfc3164Layout,Public Class,16.0,0.0,8.0,0.0,1.0,8.0,1.0,10.0,0.0,1.0,51.0,0.0,0.0,9.0,9.0,17.0,14.0,0.0,0.0,28.0,22.0,5.0,7.0,61.0,2.0,2.0,1.0,5.0,69.0,66.0,0.0,4.0,1.0,29.0,36.0,7.0,No
org.apache.karaf.audit.layout.Rfc5424Layout,Rfc5424Layout,Public Class,16.0,0.0,8.0,0.0,1.0,9.0,1.0,10.0,0.0,1.0,52.0,0.0,0.0,9.0,9.0,17.0,14.0,0.0,0.0,29.0,23.0,5.0,7.0,62.0,2.0,2.0,1.0,5.0,69.0,66.0,0.0,4.0,1.0,30.0,37.0,7.0,No
org.apache.karaf.audit.layout.SimpleLayout,SimpleLayout,Public Class,16.0,0.0,7.0,0.0,2.0,7.0,1.0,8.0,0.0,0.0,37.0,0.0,0.0,7.0,7.0,11.0,8.0,0.0,0.0,19.0,15.0,5.0,2.0,45.0,5.0,2.0,2.0,5.0,70.0,60.0,0.0,4.0,1.0,14.0,22.0,9.0,No
org.apache.karaf.audit.logger.FileEventLogger,FileEventLogger,Public Class,9.0,0.0,17.0,1.0,4.0,17.0,2.0,24.0,0.0,0.0,222.0,5.0,0.02,25.0,25.0,67.0,54.0,0.0,0.0,130.0,110.0,9.0,13.0,251.0,9.0,1.0,3.0,9.0,70.0,59.0,5.0,0.0,4.0,105.0,152.0,38.0,No
org.apache.karaf.audit.logger.JulEventLogger,JulEventLogger,Public Class,6.0,0.0,4.0,0.0,1.0,4.0,2.0,7.0,0.0,0.0,27.0,0.0,0.0,8.0,8.0,13.0,10.0,0.0,0.0,7.0,6.0,6.0,3.0,34.0,1.0,1.0,0.0,6.0,67.0,56.0,0.0,2.0,4.0,9.0,16.0,6.0,No
