Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.jboss.modules.Module,Module,Public Final Class,73.0,0.0,14.0,5.0,3.0,19.0,1.0,105.0,25.0,16.0,1070.0,417.0,0.39,83.0,83.0,275.0,312.0,23.0,0.0,687.0,625.0,46.0,10.0,1592.0,47.0,1.0,7.0,71.0,93.0,84.0,7.0,0.0,41.0,505.0,814.0,241.0,No
org.jboss.modules.ModuleClassLoader,ModuleClassLoader,Public Class,73.0,0.0,12.0,4.0,2.0,16.0,1.0,71.0,0.0,0.0,547.0,166.0,0.3,52.0,52.0,157.0,154.0,8.0,0.0,340.0,292.0,40.0,5.0,784.0,15.0,4.0,5.0,40.0,83.0,77.0,5.0,10.0,17.0,255.0,386.0,99.0,No
org.jboss.modules.AbstractLocalLoader,AbstractLocalLoader,Public Abstract Class,3.0,0.0,3.0,8.0,1.0,11.0,2.0,3.0,0.0,0.0,11.0,28.0,2.55,4.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,0.0,42.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,3.0,No
org.jboss.modules.AbstractResourceLoader,AbstractResourceLoader,Public Abstract Class,9.0,0.0,5.0,1.0,2.0,6.0,2.0,10.0,2.0,0.0,45.0,17.0,0.38,11.0,11.0,15.0,15.0,0.0,5.0,23.0,23.0,7.0,0.0,72.0,4.0,1.0,1.0,9.0,0.0,0.0,1.0,2.0,6.0,21.0,33.0,14.0,No
org.jboss.modules.ClassSpec,ClassSpec,Public Final Class,12.0,0.0,4.0,4.0,1.0,8.0,1.0,12.0,0.0,0.0,49.0,53.0,1.08,4.0,4.0,17.0,17.0,0.0,0.0,20.0,19.0,12.0,4.0,114.0,2.0,1.0,1.0,12.0,79.0,71.0,0.0,0.0,12.0,22.0,36.0,13.0,No
org.jboss.modules.PackageSpec,PackageSpec,Public Final Class,23.0,0.0,3.0,4.0,1.0,8.0,1.0,24.0,0.0,0.0,88.0,100.0,1.14,4.0,4.0,32.0,32.0,0.0,0.0,33.0,32.0,23.0,8.0,212.0,2.0,1.0,1.0,23.0,91.0,88.0,0.0,0.0,23.0,39.0,64.0,24.0,No
org.jboss.modules.AliasModuleSpec,AliasModuleSpec,Public Final Class,7.0,0.0,4.0,3.0,1.0,6.0,1.0,4.0,0.0,0.0,10.0,10.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,3.0,3.0,2.0,1.0,24.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,2.0,No
org.jboss.modules.ModuleSpec,ModuleSpec,Public Abstract Class,5.0,4.0,28.0,4.0,2.0,35.0,1.0,50.0,3.0,0.0,180.0,142.0,0.79,5.0,5.0,39.0,67.0,2.0,2.0,108.0,64.0,2.0,1.0,372.0,3.0,1.0,1.0,5.0,60.0,60.0,0.0,0.0,3.0,86.0,123.0,9.0,No
org.jboss.modules.AssertionSetting,AssertionSetting,Public Enum Type,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,1.0,0.0,2.0,,,0.0,0.0,2.0,0.0,1.0,0.0,No
org.jboss.modules.ClassDefiner,ClassDefiner,Public Final Class,12.0,0.0,4.0,7.0,1.0,11.0,1.0,12.0,1.0,2.0,51.0,92.0,1.8,10.0,10.0,19.0,19.0,0.0,0.0,24.0,25.0,11.0,0.0,155.0,2.0,1.0,1.0,12.0,0.0,0.0,2.0,0.0,10.0,21.0,38.0,16.0,No
