Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.nutch.api.model.request.NutchConfig,NutchConfig,Public Class,6.0,0.0,3.0,0.0,1.0,3.0,1.0,6.0,0.0,0.0,23.0,16.0,0.7,3.0,3.0,10.0,10.0,0.0,0.0,8.0,7.0,6.0,3.0,45.0,1.0,1.0,0.0,6.0,67.0,67.0,0.0,0.0,6.0,9.0,16.0,6.0,No
org.apache.nutch.api.impl.db.DbIterator,DbIterator,Public Class,5.0,1.0,12.0,0.0,3.0,12.0,1.0,9.0,0.0,1.0,67.0,16.0,0.24,17.0,17.0,18.0,16.0,1.0,0.0,40.0,36.0,5.0,6.0,92.0,5.0,2.0,2.0,5.0,60.0,50.0,2.0,0.0,2.0,32.0,48.0,15.0,No
org.apache.nutch.storage.Mark,Mark,Public Enum Type,9.0,0.0,3.0,1.0,1.0,3.0,1.0,8.0,0.0,0.0,30.0,23.0,0.77,3.0,3.0,12.0,9.0,1.0,0.0,9.0,9.0,9.0,8.0,61.0,2.0,1.0,1.0,9.0,,,0.0,0.0,8.0,10.0,18.0,8.0,No
org.apache.nutch.storage.WebPage,WebPage,Public Class,90.0,0.0,4.0,3.0,2.0,8.0,3.0,290.0,4.0,6.0,1327.0,769.0,0.58,26.0,26.0,416.0,351.0,0.0,1.0,646.0,641.0,86.0,26.0,2386.0,33.0,2.0,1.0,90.0,96.0,96.0,1.0,0.0,89.0,670.0,982.0,154.0,No
org.apache.nutch.util.NutchJob,NutchJob,Public Class,6.0,0.0,9.0,8.0,2.0,17.0,1.0,7.0,3.0,0.0,52.0,65.0,1.25,13.0,13.0,18.0,13.0,0.0,0.0,28.0,27.0,3.0,0.0,124.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,21.0,34.0,12.0,No
org.apache.nutch.util.TableUtil,TableUtil,Public Class,8.0,1.0,8.0,6.0,2.0,15.0,1.0,20.0,8.0,1.0,69.0,67.0,0.97,8.0,8.0,22.0,22.0,0.0,0.0,45.0,45.0,0.0,0.0,151.0,3.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,7.0,40.0,55.0,15.0,No
org.apache.nutch.api.impl.db.DbPageConverter,DbPageConverter,Public Class,5.0,1.0,17.0,0.0,5.0,18.0,1.0,11.0,5.0,0.0,85.0,16.0,0.19,20.0,20.0,16.0,20.0,0.0,0.0,53.0,53.0,0.0,0.0,112.0,13.0,1.0,2.0,5.0,0.0,0.0,4.0,0.0,1.0,33.0,63.0,25.0,No
org.apache.nutch.parse.ParseStatusUtils,ParseStatusUtils,Public Class,6.0,0.0,11.0,1.0,3.0,12.0,1.0,10.0,6.0,2.0,79.0,20.0,0.25,16.0,16.0,20.0,19.0,0.0,0.0,54.0,51.0,0.0,0.0,109.0,5.0,1.0,3.0,6.0,100.0,100.0,0.0,0.0,6.0,44.0,61.0,15.0,Yes
org.apache.nutch.protocol.ProtocolStatusUtils,ProtocolStatusUtils,Public Class,6.0,0.0,13.0,0.0,5.0,13.0,2.0,6.0,6.0,11.0,90.0,18.0,0.2,9.0,9.0,25.0,25.0,0.0,0.0,72.0,71.0,0.0,0.0,114.0,17.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,6.0,51.0,79.0,27.0,No
org.apache.nutch.util.Bytes,Bytes,Public Class,71.0,0.0,9.0,9.0,2.0,18.0,1.0,104.0,71.0,14.0,652.0,682.0,1.05,24.0,24.0,187.0,195.0,0.0,0.0,418.0,332.0,0.0,0.0,1436.0,7.0,1.0,3.0,71.0,100.0,100.0,4.0,0.0,67.0,344.0,500.0,150.0,Yes
