Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.activemq.transport.amqp.AmqpFrameParser,AmqpFrameParser,Public Class,10.0,1.0,6.0,0.0,2.0,7.0,1.0,44.0,0.0,3.0,145.0,27.0,0.19,10.0,10.0,32.0,41.0,0.0,0.0,89.0,65.0,10.0,6.0,216.0,3.0,1.0,1.0,10.0,83.0,80.0,4.0,0.0,6.0,64.0,98.0,15.0,No
org.apache.activemq.transport.amqp.AmqpFrameParser.(Anon_3),(Anon_3),Anonymous Class,2.0,1.0,10.0,0.0,2.0,11.0,2.0,5.0,0.0,0.0,21.0,0.0,0.0,7.0,7.0,3.0,5.0,0.0,0.0,17.0,12.0,2.0,1.0,26.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,14.0,4.0,No
org.apache.activemq.transport.amqp.AmqpFrameParser.(Anon_4),(Anon_4),Anonymous Class,2.0,1.0,10.0,0.0,3.0,11.0,2.0,5.0,0.0,0.0,23.0,0.0,0.0,4.0,4.0,1.0,4.0,0.0,0.0,18.0,11.0,2.0,2.0,28.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,15.0,5.0,No
org.apache.activemq.transport.amqp.AmqpFrameParser.(Anon_5),(Anon_5),Anonymous Class,2.0,1.0,12.0,2.0,3.0,15.0,2.0,5.0,0.0,0.0,25.0,4.0,0.16,6.0,6.0,2.0,4.0,0.0,0.0,20.0,14.0,2.0,1.0,34.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,17.0,5.0,No
org.apache.activemq.transport.amqp.AmqpFrameParser.AmqpFrameParser.(Anon_1),(Anon_1),Anonymous Class,1.0,0.0,4.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,No
org.apache.activemq.transport.amqp.AmqpFrameParser.setWireFormat.(Anon_2),(Anon_2),Anonymous Class,1.0,0.0,4.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,No
org.apache.activemq.transport.tcp.TcpTransport,TcpTransport,Public Class,91.0,0.0,7.0,2.0,2.0,10.0,4.0,85.0,0.0,1.0,467.0,165.0,0.35,41.0,41.0,125.0,115.0,0.0,6.0,266.0,205.0,58.0,32.0,715.0,10.0,4.0,4.0,58.0,95.0,92.0,1.0,9.0,48.0,196.0,306.0,103.0,Yes
org.apache.activemq.util.IOExceptionSupport,IOExceptionSupport,Public Final Class,9.0,0.0,5.0,0.0,1.0,6.0,1.0,12.0,8.0,0.0,50.0,16.0,0.32,6.0,6.0,18.0,18.0,0.0,0.0,28.0,26.0,1.0,0.0,78.0,4.0,1.0,1.0,9.0,0.0,0.0,4.0,0.0,5.0,24.0,37.0,12.0,No
org.apache.activemq.transport.amqp.AmqpWireFormat,AmqpWireFormat,Public Class,25.0,0.0,6.0,1.0,1.0,7.0,2.0,37.0,0.0,9.0,164.0,42.0,0.26,21.0,21.0,64.0,58.0,0.0,0.0,91.0,69.0,25.0,10.0,243.0,5.0,1.0,3.0,25.0,91.0,90.0,0.0,0.0,25.0,78.0,117.0,37.0,Yes
org.apache.activemq.transport.amqp.AmqpHeader,AmqpHeader,Public Class,16.0,0.0,4.0,0.0,1.0,4.0,1.0,18.0,0.0,1.0,66.0,20.0,0.3,5.0,5.0,22.0,22.0,0.0,0.0,27.0,27.0,16.0,1.0,104.0,3.0,1.0,2.0,16.0,25.0,0.0,0.0,0.0,16.0,26.0,46.0,19.0,No
