Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
wicket,org.apache.wicket.arquillian.testing.model.Contact,Contact,Public Class,11,0,6,0,2,6,2,14,0,0,76,3,0.04,8,8,26,18,0,0,27,24,11,3,93,7,1,2,11,61,61,0,0,11,24,42,18,Yes
wicket,org.apache.wicket.arquillian.testing.dao.ContactDaoBean,ContactDaoBean,Public Class,4,0,6,2,1,8,2,5,0,0,29,12,0.41,9,9,14,7,0,0,6,6,4,1,46,1,1,0,4,0,0,0,0,4,7,12,4,No
wicket,org.apache.wicket.arquillian.testing.pages.InsertContact,InsertContact,Public Class,349,0,6,0,1,7,1,11,0,0,41,3,0.07,8,8,12,11,0,0,14,11,5,4,55,1,5,0,5,75,75,0,0,5,15,22,5,No
wicket,org.apache.wicket.arquillian.testing.pages.InsertContact.InsertContact.(Anon_1),(Anon_1),Anonymous Class,370,0,6,0,1,6,1,0,0,0,7,0,0,4,4,0,1,0,0,4,2,1,0,7,1,5,0,1,0,0,0,1,0,2,3,1,No
wicket,org.apache.wicket.markup.html.WebPage,WebPage,Public Class,344,1,10,8,2,18,1,24,0,2,141,127,0.9,25,25,33,28,0,584,64,53,14,0,292,4,4,3,14,0,0,2,10,2,46,71,21,Yes
wicket,org.apache.wicket.markup.html.form.Form,Form,Public Generic Class,369,1,13,8,2,22,3,183,2,12,1155,782,0.68,66,66,211,205,0,84,553,401,81,4,2120,10,4,5,83,97,93,13,32,38,332,549,160,Yes
wicket,org.apache.wicket.markup.html.form.RequiredTextField,RequiredTextField,Public Generic Class,375,0,5,5,1,10,1,4,0,1,23,28,1.22,3,3,6,6,0,1,9,8,4,0,55,1,8,0,4,0,0,0,0,4,9,14,4,No
wicket,org.apache.wicket.markup.html.panel.FeedbackPanel,FeedbackPanel,Public Class,307,0,8,6,2,14,2,28,0,1,179,135,0.75,14,14,42,40,0,3,85,66,17,1,342,8,5,2,17,76,29,0,5,12,67,98,27,Yes
wicket,org.apache.wicket.model.PropertyModel,PropertyModel,Public Generic Class,23,0,5,5,1,10,1,5,1,1,24,84,3.5,2,2,9,7,0,0,6,5,3,1,113,1,3,0,4,25,0,0,1,3,7,12,4,No
wicket,org.apache.wicket.arquillian.testing.pages.ListContacts,ListContacts,Public Class,345,2,19,2,1,23,1,4,0,0,27,9,0.33,6,6,8,7,0,0,14,8,1,2,40,1,5,0,1,0,0,0,0,1,10,14,1,No
