Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
poi,org.apache.poi.osgi.Activator,Activator,Public Class,2,2,10,0,1,12,2,6,0,0,22,0,0,12,12,5,3,0,0,14,14,2,0,28,1,1,0,2,0,0,0,0,2,14,17,2,No
poi,org.apache.poi.extractor.ExtractorFactory,ExtractorFactory,Public Final Class,19,1,8,8,2,16,1,39,17,4,156,154,0.99,31,31,46,48,0,0,90,78,1,1,349,10,1,3,18,78,56,2,0,16,63,108,49,Yes
poi,org.apache.poi.extractor.MainExtractorFactory,MainExtractorFactory,Public Class,4,1,8,0,2,9,2,6,0,0,34,4,0.12,16,16,12,7,0,0,14,13,4,0,44,5,1,3,4,0,0,0,0,4,9,19,8,No
poi,org.apache.poi.extractor.ole2.OLE2ScratchpadExtractorFactory,OLE2ScratchpadExtractorFactory,Public Class,5,1,15,6,4,23,2,13,0,2,88,49,0.56,34,34,32,15,0,0,53,40,5,0,144,9,1,3,5,0,0,0,0,5,25,49,22,No
poi,org.apache.poi.hslf.usermodel.HSLFSlideShowFactory,HSLFSlideShowFactory,Public Class,7,0,7,2,2,10,2,7,1,0,56,19,0.34,12,12,21,11,0,0,24,20,6,0,82,3,1,2,7,0,0,0,0,7,16,30,11,No
poi,org.apache.poi.hssf.usermodel.HSSFWorkbookFactory,HSSFWorkbookFactory,Public Class,7,0,8,2,2,11,2,7,1,0,62,20,0.32,14,14,22,12,0,0,29,24,6,0,89,4,1,2,7,0,0,0,0,7,19,34,12,No
poi,org.apache.poi.ooxml.extractor.POIXMLExtractorFactory,POIXMLExtractorFactory,Public Final Class,11,1,13,4,4,19,2,26,5,4,158,56,0.35,40,40,32,31,0,0,99,80,6,0,239,16,1,4,11,0,0,0,0,11,56,102,42,Yes
poi,org.apache.poi.sl.usermodel.SlideShowFactory,SlideShowFactory,Public Final Class,14,1,6,10,2,17,1,28,13,0,98,142,1.45,22,22,31,31,0,0,51,47,1,1,268,6,1,2,14,71,0,3,0,11,39,68,34,No
poi,org.apache.poi.ss.usermodel.WorkbookFactory,WorkbookFactory,Public Final Class,14,1,6,13,2,19,1,28,13,0,98,181,1.85,21,21,30,31,0,0,52,47,1,1,307,6,1,2,14,71,0,3,0,11,39,68,34,No
poi,org.apache.poi.xslf.usermodel.XSLFSlideShowFactory,XSLFSlideShowFactory,Public Class,7,1,9,7,2,17,2,13,1,0,68,47,0.69,16,16,21,13,0,0,35,29,6,0,128,4,1,2,7,0,0,0,0,7,20,37,14,No
poi,org.apache.poi.xssf.usermodel.XSSFWorkbookFactory,XSSFWorkbookFactory,Public Class,7,1,9,7,2,17,2,13,1,0,67,46,0.69,17,17,22,13,0,0,33,28,6,0,126,4,1,2,7,0,0,0,0,7,19,36,14,No
poi,org.apache.poi.osgi.BaseOSGiTestCase,BaseOSGiTestCase,Public Class,1,0,10,0,2,10,1,2,0,0,14,4,0.29,7,7,6,4,0,3,6,4,1,1,20,2,1,1,1,100,100,0,0,1,4,7,2,No
poi,org.apache.poi.osgi.OSGiExtractorsIT,OSGiExtractorsIT,Public Class,7,2,8,2,1,11,1,16,0,0,49,13,0.27,24,24,30,24,2,0,29,29,6,0,78,1,2,0,6,0,0,0,0,4,29,36,6,No
poi,org.apache.poi.hslf.usermodel.HSLFSlideShow,HSLFSlideShow,Public Final Class,100,1,10,4,2,15,4,181,5,7,745,321,0.43,97,97,244,222,4,0,456,420,70,9,1244,15,2,4,75,94,81,8,9,54,363,549,161,Yes
