Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.drill.common.AutoCloseablePointer,AutoCloseablePointer,Public Final Generic Class,7.0,0.0,5.0,6.0,1.0,10.0,2.0,7.0,0.0,0.0,37.0,66.0,1.78,3.0,3.0,11.0,10.0,0.0,0.0,16.0,13.0,7.0,1.0,110.0,2.0,1.0,2.0,7.0,29.0,0.0,0.0,0.0,7.0,12.0,23.0,9.0,No
org.apache.drill.common.AutoCloseables,AutoCloseables,Public Class,5.0,0.0,8.0,4.0,2.0,12.0,1.0,5.0,5.0,0.0,42.0,38.0,0.9,6.0,6.0,7.0,9.0,0.0,0.0,23.0,16.0,0.0,0.0,85.0,6.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,11.0,25.0,11.0,Yes
org.apache.drill.common.AutoCloseables.all.(Anon_1),(Anon_1),Anonymous Class,1.0,0.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,No
org.apache.drill.common.CatastrophicFailure,CatastrophicFailure,Public Class,2.0,1.0,7.0,5.0,2.0,12.0,1.0,3.0,1.0,1.0,17.0,26.0,1.53,5.0,5.0,6.0,5.0,0.0,0.0,10.0,8.0,1.0,0.0,46.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,11.0,4.0,Yes
org.slf4j.Logger,Logger,Unknown Class,6.0,0.0,6.0,0.0,1.0,6.0,1.0,5.0,0.0,0.0,30.0,17.0,0.17,8.0,8.0,11.0,9.0,0.0,0.0,13.0,11.0,3.0,1.0,49.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,11.0,18.0,5.0,Yes
org.apache.drill.common.collections.ImmutableEntry,ImmutableEntry,Public Generic Class,6.0,0.0,5.0,0.0,1.0,5.0,2.0,6.0,0.0,0.0,32.0,17.0,0.53,4.0,4.0,15.0,10.0,0.0,0.0,10.0,9.0,6.0,2.0,55.0,2.0,1.0,1.0,6.0,33.0,33.0,0.0,0.0,6.0,11.0,19.0,7.0,No
org.slf4j.LoggerFactory,LoggerFactory,Unknown Class,6.0,0.0,6.0,0.0,1.0,6.0,1.0,5.0,0.0,0.0,30.0,17.0,0.17,8.0,8.0,11.0,9.0,0.0,0.0,13.0,11.0,3.0,1.0,49.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,11.0,18.0,5.0,Yes
org.apache.drill.common.collections.MapWithOrdinal,MapWithOrdinal,Public Generic Class,14.0,0.0,4.0,2.0,1.0,6.0,2.0,27.0,0.0,1.0,139.0,63.0,0.45,8.0,8.0,39.0,40.0,0.0,0.0,79.0,49.0,14.0,3.0,229.0,2.0,1.0,1.0,14.0,67.0,67.0,0.0,0.0,14.0,46.0,78.0,15.0,No
org.apache.drill.common.collections.MapWithOrdinal.(Anon_1),(Anon_1),Anonymous Class,12.0,0.0,6.0,0.0,1.0,6.0,1.0,11.0,0.0,0.0,75.0,3.0,0.04,10.0,10.0,7.0,20.0,0.0,0.0,59.0,28.0,12.0,0.0,89.0,3.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,12.0,26.0,42.0,17.0,No
org.apache.drill.common.collections.MapWithOrdinal.(Anon_1).entrySet.(Anon_3),(Anon_3),Anonymous Class,1.0,0.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,No
org.apache.drill.common.collections.MapWithOrdinal.(Anon_1).values.(Anon_2),(Anon_2),Anonymous Class,1.0,0.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,No
org.apache.drill.common.concurrent.AutoCloseableLock,AutoCloseableLock,Public Class,3.0,0.0,4.0,0.0,1.0,4.0,2.0,5.0,0.0,0.0,14.0,20.0,1.43,2.0,2.0,6.0,5.0,0.0,0.0,4.0,4.0,3.0,1.0,39.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,3.0,No
