Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
argouml,org.argouml.dev.CallerListNodeBuilder,CallerListNodeBuilder,Public Class,0,0,0,0,0,0,1,2,0,0,2,19,9.5,0,0,1,1,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,1,0,No
argouml,org.argouml.dev.DevActionFactory,DevActionFactory,Public Class,1,0,10,1,2,11,2,5,0,0,19,6,0.32,7,7,8,7,0,0,8,6,1,0,30,2,1,1,1,0,0,0,0,1,6,12,2,No
argouml,org.argouml.dev.DevActionFactory.TestAction,TestAction,Class,2,0,3,0,1,3,1,3,0,0,7,0,0,3,3,3,3,0,0,1,1,2,0,10,1,2,0,2,0,0,0,0,2,1,4,2,No
argouml,org.argouml.model.Model,Model,Public Final Class,43,0,4,6,1,10,1,59,42,11,190,290,1.53,49,49,64,58,0,0,81,74,1,0,539,6,1,1,43,90,87,1,0,42,82,130,50,Yes
argouml,org.argouml.dev.DeveloperModule,DeveloperModule,Public Final Class,5,4,13,2,2,19,2,30,0,3,72,33,0.46,23,23,23,22,0,0,57,46,5,2,135,4,1,1,5,60,60,0,0,5,49,56,8,No
argouml,org.argouml.dev.figinspector.FigInspectorPanel,FigInspectorPanel,Public Final Class,8,1,14,2,3,16,2,14,2,2,115,24,0.21,17,17,30,26,0,0,76,62,6,0,153,6,2,2,8,0,0,6,0,2,51,78,25,No
argouml,org.argouml.dev.test.TestPanel,TestPanel,Public Final Class,1,0,5,3,1,8,1,1,0,0,7,8,1.14,1,1,2,2,0,0,3,3,1,0,16,1,2,0,1,0,0,0,0,1,3,5,1,No
argouml,org.argouml.ui.AboutBox,AboutBox,Public Class,15,3,25,7,1,36,1,42,3,3,237,82,0.35,20,20,28,27,0,0,212,182,6,2,360,2,3,1,9,81,59,4,0,5,184,197,11,No
argouml,org.argouml.ui.ContextActionFactoryManager,ContextActionFactoryManager,Public Class,4,0,7,6,2,13,1,5,4,1,31,34,1.1,7,7,10,10,1,0,17,13,0,0,70,4,1,3,4,25,0,0,0,3,11,20,7,No
argouml,org.argouml.ui.DetailsPane,DetailsPane,Public Class,35,1,9,5,3,15,5,67,0,1,342,243,0.71,33,33,80,81,2,0,202,181,35,9,652,19,2,5,35,88,79,9,0,24,140,238,92,Yes
argouml,org.argouml.ui.ProjectBrowser,ProjectBrowser,Public Final Class,63,1,16,7,3,24,3,190,2,6,1113,547,0.49,107,107,232,191,1,0,781,501,61,18,1847,19,2,4,63,95,88,21,2,39,421,621,167,Yes
argouml,org.argouml.dev.ModeInspectorPanel,ModeInspectorPanel,Public Final Class,5,0,6,2,1,8,2,8,1,1,35,20,0.57,7,7,13,12,1,0,18,17,4,1,63,2,2,1,5,80,80,2,0,2,17,26,7,No
argouml,org.argouml.dev.UndoLogPanel,UndoLogPanel,Public Final Class,4,0,6,2,1,7,1,7,1,2,28,17,0.61,5,5,10,10,2,0,16,15,3,1,52,2,2,1,4,25,25,1,0,1,16,22,5,No
argouml,org.argouml.dev.TargetManagerPanel,TargetManagerPanel,Public Class,7,0,5,1,1,6,2,15,1,2,50,32,0.64,14,14,18,18,0,0,25,24,6,3,97,2,2,1,7,67,43,2,0,5,26,38,8,No
argouml,org.argouml.dev.EventPumpInspectorPanel,EventPumpInspectorPanel,Public Final Class,4,0,7,3,2,10,1,13,1,2,52,26,0.5,11,11,17,16,1,0,29,25,3,1,91,5,2,3,4,100,100,2,0,1,24,38,8,No
argouml,org.argouml.ui.ProjectBrowser.Position,Position,Public Enum Type,2,0,0,0,0,0,1,0,0,0,4,3,0.75,1,1,3,1,0,0,0,0,2,9,7,0,1,0,2,,,0,0,2,0,1,0,Yes
argouml,org.argouml.dev.EventPumpInspectorPanel.RefreshAction,RefreshAction,Private Class,2,0,7,0,2,7,1,3,0,1,17,3,0.18,4,4,5,5,1,0,10,9,2,0,23,2,2,1,2,0,0,0,0,1,9,13,3,No
argouml,org.argouml.dev.MessageNodeBuilder,MessageNodeBuilder,Public Class,1,2,4,17,1,23,1,3,1,0,6,22,3.67,2,2,4,2,0,0,0,0,0,0,31,1,1,0,1,0,0,0,0,1,0,2,1,No
argouml,org.argouml.sequence2.diagram.FigClassifierRole,FigClassifierRole,Public Class,143,1,9,4,2,13,1,44,0,0,212,134,0.63,19,19,61,51,2,0,125,102,21,5,390,4,3,3,21,79,64,4,4,11,93,141,37,Yes
argouml,org.argouml.dev.figinspector.FigTree,FigTree,Public Class,2,0,7,4,2,11,1,3,0,1,17,16,0.94,3,3,8,6,0,0,8,5,2,0,36,2,2,1,2,0,0,0,0,2,7,9,3,No
argouml,org.argouml.dev.TargetManagerPanel.ClearAction,ClearAction,Class,2,0,3,3,1,6,1,2,0,0,8,6,0.75,3,3,3,3,0,0,2,2,2,0,16,1,2,0,2,0,0,0,0,2,2,5,2,No
argouml,org.argouml.ui.targetmanager.TargetEvent,TargetEvent,Public Class,9,0,5,5,2,10,1,16,0,4,57,69,1.21,5,5,24,25,0,0,29,24,9,3,142,3,2,2,9,59,44,0,0,9,27,43,16,No
argouml,org.argouml.ui.targetmanager.TargetManager,TargetManager,Public Final Class,32,1,10,5,3,16,1,108,1,2,535,343,0.64,22,22,122,122,0,0,333,280,31,7,984,12,1,3,32,88,80,11,0,21,221,358,85,Yes
argouml,org.argouml.dev.UndoManagerWrapper,UndoManagerWrapper,Public Class,1,0,2,3,1,5,1,3,0,0,4,45,11.25,0,0,2,2,0,0,0,0,1,0,52,1,1,0,1,0,0,0,0,1,0,2,1,No
argouml,org.argouml.tools.ui.ActionExecSilk,ActionExecSilk,Public Class,15,0,5,4,2,9,2,28,0,3,84,60,0.71,14,14,29,27,0,0,57,46,15,0,172,6,2,4,15,93,93,0,0,15,39,65,25,No
argouml,org.argouml.i18n.Translator,Translator,Public Final Class,14,1,11,8,2,20,1,36,13,6,164,137,0.84,15,15,35,33,0,0,114,71,1,0,337,6,1,3,14,79,48,4,0,10,64,94,29,No
argouml,org.argouml.application.api.AbstractArgoJPanel,AbstractArgoJPanel,Public Abstract Class,11,1,5,5,1,11,3,26,0,2,69,94,1.36,14,14,24,22,0,13,39,35,11,4,188,3,2,1,11,80,68,0,0,11,36,51,14,No
argouml,org.argouml.util.ArgoFrame,ArgoFrame,Public Class,5,0,8,5,2,14,1,7,4,2,47,38,0.81,7,7,13,12,0,0,25,23,1,0,92,7,1,5,5,60,20,1,0,4,18,31,12,No
argouml,org.argouml.application.api.Argo,Argo,Public Final Class,4,0,3,6,1,9,1,55,3,49,106,220,2.08,4,4,93,54,0,0,55,40,1,0,381,1,1,0,4,0,0,1,0,3,52,58,4,Yes
argouml,org.argouml.configuration.Configuration,Configuration,Public Final Class,31,0,3,7,1,11,1,37,30,5,109,257,2.36,9,9,47,37,0,0,35,31,1,0,403,1,1,0,31,42,26,1,0,30,35,67,31,Yes
argouml,org.argouml.application.ArgoVersion,ArgoVersion,Final Class,2,0,3,3,1,6,1,2,1,2,9,22,2.44,2,2,5,5,1,0,3,1,1,0,33,1,1,0,2,0,0,1,0,0,3,6,2,No
argouml,org.argouml.application.helpers.ApplicationVersion,ApplicationVersion,Public Class,4,0,4,4,1,8,1,4,3,2,18,24,1.33,1,1,7,7,0,0,6,6,1,0,46,1,1,0,4,50,50,1,0,3,8,13,4,No
argouml,org.argouml.application.events.ArgoDiagramAppearanceEvent,ArgoDiagramAppearanceEvent,Public Class,7,0,3,5,1,8,1,2,0,0,8,14,1.75,0,0,3,3,0,0,2,2,2,0,24,1,3,0,2,0,0,0,0,2,2,5,2,No
argouml,org.argouml.application.events.ArgoEvent,ArgoEvent,Public Abstract Class,5,0,3,5,1,8,2,7,0,0,20,33,1.65,1,1,8,7,0,6,11,6,5,1,60,2,2,0,5,40,40,0,0,5,7,13,6,No
argouml,org.argouml.application.events.ArgoEventPump,ArgoEventPump,Public Final Class,19,1,14,5,3,20,1,53,6,2,306,126,0.41,21,21,55,41,0,0,187,133,13,1,485,17,1,3,19,84,58,10,3,6,97,170,66,No
argouml,org.argouml.application.events.ArgoEventPump.Pair,Pair,Static Class,6,0,5,2,2,7,1,9,0,0,35,15,0.43,3,3,13,10,3,0,13,12,6,2,59,3,1,2,6,17,17,0,0,3,12,22,9,No
