Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
cxf,org.apache.cxf.annotations.FactoryType.DEFAULT,DEFAULT,Final Class,2,0,3,0,1,3,2,0,0,0,7,0,0,2,2,3,3,0,0,1,1,2,0,7,1,1,0,2,0,0,0,0,2,1,4,2,No
cxf,org.apache.cxf.annotations.FactoryType.Type,Type,Enum Type,2,0,0,0,0,0,1,0,0,0,6,1,0.17,1,1,6,1,0,0,0,0,2,4,6,0,1,0,2,,,0,0,2,1,1,0,No
cxf,org.apache.cxf.interceptor.AbstractLoggingInterceptor,AbstractLoggingInterceptor,Public Abstract Class,45,0,7,1,2,8,1,24,1,6,205,37,0.18,34,34,73,61,1,2,122,94,26,7,266,7,2,3,27,89,88,0,9,17,89,135,46,Yes
cxf,org.apache.cxf.annotations.Policy.DEFAULT,DEFAULT,Final Class,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,No
cxf,org.apache.cxf.annotations.Policy.Placement,Placement,Enum Type,2,0,0,0,0,0,1,3,0,0,15,0,0,1,1,14,1,0,0,0,0,2,13,18,0,1,0,2,,,0,0,2,0,1,0,No
cxf,org.apache.cxf.annotations.Provider.Scope,Scope,Enum Type,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,3,1,0,1,0,2,,,0,0,2,0,1,0,No
cxf,org.apache.cxf.annotations.Provider.Type,Type,Enum Type,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,2,5,1,0,1,0,2,,,0,0,2,0,1,0,No
cxf,org.apache.cxf.annotations.SchemaValidation.SchemaValidationType,SchemaValidationType,Enum Type,2,0,0,0,0,0,1,0,0,0,3,0,0,1,1,2,1,0,0,0,0,2,6,3,0,1,0,2,,,0,0,2,0,1,0,No
cxf,org.apache.cxf.annotations.WSDLDocumentation.DEFAULT,DEFAULT,Final Class,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,No
cxf,org.apache.cxf.annotations.WSDLDocumentation.Placement,Placement,Enum Type,2,0,0,0,0,0,1,5,0,0,19,0,0,1,1,18,1,0,0,0,0,2,17,24,0,1,0,2,,,0,0,2,0,1,0,No
cxf,org.apache.cxf.attachment.AttachmentDataSource,AttachmentDataSource,Public Class,10,0,6,0,2,6,2,8,0,0,70,18,0.26,12,12,16,16,0,0,35,32,10,5,96,4,1,3,10,72,68,0,0,10,29,48,18,No
cxf,org.apache.cxf.common.util.StringUtils,StringUtils,Public Final Class,19,0,7,0,2,7,1,20,17,2,122,25,0.2,11,11,33,36,1,0,67,62,1,0,165,4,1,3,18,0,0,2,0,15,51,88,36,No
cxf,org.apache.cxf.helpers.IOUtils,IOUtils,Public Final Class,29,0,10,2,3,13,1,37,28,2,304,80,0.26,20,20,78,61,0,0,183,157,1,0,421,7,1,3,29,0,0,2,0,27,127,203,74,Yes
cxf,org.apache.cxf.io.CacheSizeExceededException,CacheSizeExceededException,Public Class,4,0,3,0,1,3,1,4,0,1,15,18,1.2,2,2,6,6,0,0,5,4,4,0,37,1,2,0,4,0,0,0,0,4,5,10,4,No
cxf,org.apache.cxf.io.CachedOutputStream,CachedOutputStream,Public Class,49,0,9,1,2,10,1,70,6,5,522,62,0.12,29,29,107,113,0,7,316,266,43,14,654,8,2,4,49,89,81,8,4,37,219,359,119,Yes
