Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.tools.ant.Task,Task,Public Abstract Class,39.0,0.0,6.0,7.0,1.0,12.0,1.0,35.0,0.0,0.0,170.0,251.0,1.48,13.0,13.0,46.0,43.0,1.0,145.0,89.0,80.0,29.0,6.0,456.0,6.0,2.0,3.0,29.0,89.0,80.0,2.0,7.0,19.0,75.0,117.0,43.0,No
org.apache.tools.ant.BuildException,BuildException,Public Class,11.0,0.0,3.0,7.0,1.0,10.0,1.0,14.0,0.0,1.0,40.0,80.0,2.0,3.0,3.0,14.0,14.0,0.0,4.0,16.0,14.0,11.0,1.0,134.0,1.0,2.0,0.0,11.0,45.0,45.0,0.0,0.0,11.0,16.0,28.0,11.0,No
org.apache.tools.ant.types.FileSet,FileSet,Public Class,106.0,0.0,5.0,5.0,2.0,9.0,2.0,7.0,0.0,0.0,31.0,32.0,1.03,3.0,3.0,7.0,7.0,0.0,6.0,14.0,12.0,6.0,0.0,70.0,2.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,5.0,9.0,19.0,9.0,No
org.apache.tools.ant.taskdefs.Echo,Echo,Public Class,48.0,0.0,5.0,6.0,2.0,11.0,1.0,12.0,0.0,0.0,54.0,69.0,1.28,14.0,14.0,20.0,20.0,0.0,0.0,29.0,16.0,9.0,7.0,135.0,5.0,3.0,1.0,9.0,78.0,75.0,0.0,0.0,9.0,21.0,34.0,16.0,No
org.apache.tools.ant.types.AbstractFileSet,AbstractFileSet,Public Abstract Class,100.0,0.0,7.0,5.0,2.0,12.0,3.0,75.0,0.0,0.0,469.0,336.0,0.72,39.0,39.0,91.0,97.0,0.0,5.0,268.0,254.0,67.0,11.0,880.0,7.0,3.0,3.0,67.0,90.0,78.0,1.0,3.0,63.0,207.0,340.0,128.0,Yes
org.example.Foo,Foo,Public Class,2.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,No
org.apache.tools.ant.util.DateUtils,DateUtils,Public Final Class,11.0,0.0,7.0,10.0,1.0,17.0,1.0,27.0,10.0,15.0,105.0,140.0,1.33,12.0,12.0,54.0,42.0,0.0,0.0,63.0,41.0,1.0,0.0,272.0,4.0,1.0,1.0,11.0,0.0,0.0,2.0,0.0,9.0,51.0,69.0,16.0,No
org.apache.tools.ant.AntClassLoader,AntClassLoader,Public Class,64.0,0.0,11.0,10.0,3.0,21.0,3.0,105.0,4.0,6.0,738.0,711.0,0.96,43.0,43.0,199.0,177.0,0.0,3.0,462.0,378.0,60.0,10.0,1551.0,12.0,2.0,5.0,64.0,94.0,81.0,13.0,10.0,41.0,310.0,487.0,182.0,Yes
org.apache.tools.ant.AntClassLoader.ResourceEnumeration,ResourceEnumeration,Private Class,4.0,0.0,7.0,7.0,2.0,14.0,2.0,6.0,0.0,0.0,33.0,46.0,1.39,6.0,6.0,11.0,11.0,1.0,0.0,17.0,14.0,4.0,3.0,85.0,3.0,1.0,2.0,4.0,42.0,17.0,1.0,0.0,2.0,16.0,24.0,7.0,Yes
org.apache.tools.ant.launch.Locator,Locator,Public Final Class,12.0,1.0,19.0,12.0,4.0,32.0,1.0,27.0,11.0,13.0,269.0,202.0,0.75,16.0,16.0,78.0,74.0,0.0,0.0,192.0,158.0,1.0,0.0,497.0,12.0,1.0,4.0,12.0,92.0,92.0,2.0,0.0,10.0,148.0,204.0,53.0,No
