Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.catalina.authenticator.jaspic.AuthConfigFactoryImpl,AuthConfigFactoryImpl,Public Class,32.0,0.0,15.0,1.0,4.0,16.0,1.0,77.0,1.0,6.0,381.0,33.0,0.09,27.0,27.0,117.0,92.0,0.0,0.0,211.0,186.0,18.0,5.0,490.0,18.0,2.0,5.0,19.0,74.0,41.0,10.0,0.0,9.0,146.0,251.0,73.0,No
org.apache.catalina.connector.Request,Request,Public Class,154.0,1.0,11.0,5.0,3.0,18.0,2.0,581.0,0.0,6.0,1929.0,960.0,0.5,125.0,125.0,463.0,397.0,0.0,6.0,1234.0,1005.0,154.0,47.0,3466.0,23.0,1.0,6.0,154.0,97.0,94.0,9.0,16.0,129.0,818.0,1269.0,426.0,Yes
org.apache.catalina.connector.Response,Response,Public Class,79.0,2.0,11.0,6.0,3.0,19.0,2.0,330.0,1.0,3.0,951.0,546.0,0.57,62.0,62.0,229.0,181.0,0.0,2.0,564.0,499.0,78.0,15.0,1823.0,15.0,1.0,5.0,79.0,93.0,83.0,6.0,3.0,70.0,397.0,632.0,225.0,Yes
org.apache.catalina.ant.AbstractCatalinaCommandTask,AbstractCatalinaCommandTask,Public Abstract Class,38.0,0.0,6.0,2.0,2.0,8.0,1.0,10.0,0.0,0.0,34.0,16.0,0.47,5.0,5.0,9.0,9.0,0.0,6.0,20.0,16.0,5.0,2.0,60.0,4.0,4.0,3.0,5.0,40.0,40.0,0.0,0.0,5.0,15.0,24.0,8.0,No
org.apache.catalina.ant.AbstractCatalinaTask,AbstractCatalinaTask,Public Abstract Class,33.0,1.0,11.0,3.0,2.0,14.0,1.0,48.0,0.0,1.0,167.0,97.0,0.58,16.0,16.0,40.0,37.0,0.0,12.0,105.0,82.0,14.0,5.0,311.0,20.0,3.0,6.0,14.0,74.0,69.0,1.0,0.0,13.0,76.0,116.0,34.0,No
org.apache.catalina.ant.AbstractCatalinaTask.TaskAuthenticator,TaskAuthenticator,Private Static Class,2.0,0.0,4.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,12.0,0.0,0.0,3.0,3.0,6.0,5.0,0.0,0.0,3.0,3.0,2.0,2.0,15.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,8.0,2.0,No
org.apache.catalina.util.IOTools,IOTools,Public Class,5.0,0.0,6.0,8.0,2.0,14.0,1.0,7.0,4.0,1.0,34.0,45.0,1.32,5.0,5.0,15.0,13.0,0.0,0.0,13.0,9.0,1.0,0.0,85.0,3.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,4.0,12.0,22.0,9.0,No
org.apache.catalina.ant.BaseRedirectorHelperTask,BaseRedirectorHelperTask,Public Abstract Class,19.0,0.0,6.0,6.0,2.0,13.0,1.0,48.0,0.0,0.0,134.0,162.0,1.21,10.0,10.0,34.0,30.0,0.0,3.0,77.0,63.0,19.0,10.0,344.0,4.0,2.0,2.0,19.0,77.0,57.0,1.0,7.0,11.0,59.0,92.0,32.0,No
org.apache.catalina.ant.DeployTask,DeployTask,Public Class,49.0,0.0,9.0,1.0,2.0,10.0,1.0,22.0,0.0,1.0,109.0,32.0,0.29,13.0,13.0,27.0,26.0,0.0,2.0,69.0,52.0,11.0,5.0,163.0,16.0,5.0,5.0,11.0,73.0,73.0,0.0,0.0,11.0,46.0,73.0,26.0,No
org.apache.catalina.ant.FindLeaksTask,FindLeaksTask,Public Class,36.0,0.0,4.0,6.0,1.0,10.0,1.0,5.0,0.0,0.0,14.0,22.0,1.57,2.0,2.0,6.0,5.0,0.0,0.0,5.0,4.0,3.0,1.0,41.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,3.0,No
org.apache.catalina.ant.JKStatusUpdateTask,JKStatusUpdateTask,Public Class,63.0,0.0,7.0,4.0,2.0,11.0,1.0,48.0,0.0,0.0,219.0,130.0,0.59,8.0,8.0,48.0,47.0,0.0,0.0,125.0,100.0,30.0,14.0,391.0,16.0,4.0,3.0,30.0,88.0,85.0,1.0,1.0,28.0,87.0,145.0,57.0,Yes
org.apache.catalina.ant.jmx.Arg,Arg,Public Class,4.0,0.0,3.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,16.0,5.0,0.31,1.0,1.0,7.0,7.0,0.0,0.0,4.0,4.0,4.0,2.0,26.0,1.0,1.0,0.0,4.0,50.0,50.0,0.0,0.0,4.0,6.0,11.0,4.0,No
org.apache.catalina.ant.jmx.JMXAccessorCondition,JMXAccessorCondition,Public Class,31.0,0.0,8.0,4.0,3.0,12.0,1.0,11.0,0.0,0.0,95.0,102.0,1.07,3.0,3.0,24.0,23.0,0.0,0.0,57.0,53.0,11.0,4.0,208.0,18.0,3.0,5.0,11.0,73.0,68.0,0.0,2.0,9.0,38.0,69.0,30.0,No
org.apache.catalina.ant.jmx.JMXAccessorConditionBase,JMXAccessorConditionBase,Public Abstract Class,20.0,0.0,4.0,3.0,1.0,7.0,2.0,5.0,0.0,0.0,83.0,66.0,0.8,7.0,7.0,33.0,31.0,0.0,2.0,36.0,24.0,20.0,9.0,154.0,3.0,2.0,2.0,20.0,88.0,82.0,0.0,2.0,18.0,31.0,54.0,22.0,No
org.apache.catalina.ant.jmx.JMXAccessorTask,JMXAccessorTask,Public Class,59.0,0.0,9.0,4.0,3.0,14.0,1.0,65.0,2.0,2.0,387.0,224.0,0.58,31.0,31.0,95.0,89.0,0.0,6.0,235.0,178.0,38.0,14.0,675.0,21.0,3.0,4.0,40.0,94.0,89.0,0.0,7.0,33.0,144.0,251.0,105.0,Yes
org.apache.catalina.ant.jmx.JMXAccessorCreateTask,JMXAccessorCreateTask,Public Class,68.0,0.0,8.0,3.0,2.0,11.0,1.0,14.0,0.0,0.0,78.0,61.0,0.78,9.0,9.0,19.0,17.0,0.0,0.0,43.0,37.0,9.0,3.0,153.0,9.0,4.0,3.0,9.0,59.0,52.0,0.0,1.0,8.0,32.0,52.0,19.0,No
