Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.livy.JobHandle.State,State,Enum Type,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.38,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,11.0,0.0,1.0,0.0,2.0,,,0.0,0.0,2.0,1.0,1.0,0.0,No
org.apache.livy.LivyClientBuilder,LivyClientBuilder,Public Final Class,8.0,1.0,12.0,3.0,3.0,15.0,1.0,17.0,0.0,1.0,96.0,26.0,0.27,17.0,17.0,21.0,22.0,0.0,0.0,60.0,48.0,8.0,1.0,139.0,11.0,1.0,4.0,8.0,25.0,13.0,1.0,0.0,7.0,38.0,65.0,23.0,No
org.apache.livy.TestClientFactory,TestClientFactory,Public Class,1.0,2.0,11.0,0.0,3.0,13.0,2.0,15.0,0.0,0.0,47.0,0.0,0.0,6.0,6.0,20.0,12.0,0.0,0.0,15.0,12.0,1.0,0.0,62.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,24.0,3.0,No
org.apache.livy.TestClientFactory.Client,Client,Public Static Class,8.0,0.0,4.0,0.0,1.0,4.0,2.0,10.0,0.0,0.0,34.0,0.0,0.0,8.0,8.0,17.0,10.0,0.0,0.0,8.0,8.0,8.0,1.0,44.0,1.0,1.0,0.0,8.0,88.0,88.0,1.0,0.0,7.0,9.0,18.0,8.0,No
org.apache.livy.TestLivyClientBuilder,TestLivyClientBuilder,Public Class,6.0,0.0,8.0,0.0,1.0,8.0,1.0,9.0,0.0,0.0,47.0,1.0,0.02,8.0,8.0,18.0,10.0,0.0,0.0,26.0,17.0,6.0,0.0,56.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,16.0,24.0,7.0,No
org.apache.livy.client.common.AbstractJobHandle,AbstractJobHandle,Public Abstract Generic Class,7.0,0.0,11.0,3.0,3.0,13.0,2.0,8.0,0.0,0.0,61.0,13.0,0.21,9.0,9.0,13.0,11.0,0.0,3.0,36.0,28.0,7.0,2.0,82.0,8.0,1.0,2.0,7.0,30.0,30.0,1.0,3.0,3.0,26.0,39.0,14.0,No
org.apache.livy.client.common.BufferUtils,BufferUtils,Public Class,1.0,0.0,11.0,0.0,2.0,11.0,1.0,2.0,1.0,0.0,14.0,3.0,0.21,2.0,2.0,4.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,19.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,2.0,No
org.apache.livy.client.common.ClientConf,ClientConf,Public Abstract Generic Class,20.0,0.0,8.0,0.0,2.0,9.0,2.0,41.0,0.0,2.0,188.0,26.0,0.14,24.0,24.0,59.0,54.0,0.0,3.0,102.0,88.0,20.0,3.0,255.0,5.0,1.0,3.0,20.0,85.0,57.0,6.0,3.0,11.0,80.0,126.0,40.0,No
org.apache.livy.client.common.ClientConf.ConfPair,ConfPair,Private Static Class,1.0,0.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,No
org.apache.livy.client.common.HttpMessages,HttpMessages,Public Class,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,81.0,10.0,0.12,1.0,1.0,36.0,34.0,0.0,0.0,26.0,26.0,0.0,0.0,121.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,60.0,0.0,No
