Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.jfree.chart.annotations.AbstractAnnotation,AbstractAnnotation,Public Abstract Class,11.0,0.0,5.0,8.0,1.0,13.0,4.0,16.0,0.0,0.0,57.0,95.0,1.67,12.0,12.0,22.0,18.0,0.0,3.0,23.0,22.0,11.0,2.0,168.0,3.0,1.0,2.0,11.0,55.0,45.0,2.0,3.0,6.0,21.0,37.0,15.0,No
org.jfree.chart.event.AnnotationChangeEvent,AnnotationChangeEvent,Public Class,9.0,0.0,4.0,6.0,1.0,10.0,1.0,4.0,0.0,0.0,11.0,17.0,1.55,2.0,2.0,4.0,4.0,0.0,0.0,4.0,4.0,2.0,1.0,32.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,2.0,No
org.jfree.chart.annotations.AbstractXYAnnotation,AbstractXYAnnotation,Public Abstract Class,20.0,0.0,7.0,7.0,2.0,14.0,2.0,12.0,0.0,0.0,69.0,74.0,1.07,12.0,12.0,26.0,16.0,0.0,9.0,31.0,28.0,9.0,2.0,155.0,5.0,2.0,1.0,9.0,38.0,38.0,0.0,2.0,7.0,25.0,42.0,16.0,No
org.jfree.chart.axis.ValueAxis,ValueAxis,Public Abstract Class,149.0,1.0,10.0,9.0,2.0,20.0,4.0,145.0,0.0,9.0,748.0,717.0,0.96,37.0,37.0,205.0,178.0,0.0,4.0,479.0,390.0,72.0,19.0,1610.0,19.0,2.0,4.0,72.0,93.0,89.0,2.0,10.0,60.0,353.0,515.0,163.0,No
org.jfree.chart.entity.XYAnnotationEntity,XYAnnotationEntity,Public Class,24.0,0.0,7.0,6.0,2.0,13.0,2.0,7.0,0.0,1.0,33.0,31.0,0.94,3.0,3.0,11.0,8.0,0.0,0.0,15.0,13.0,4.0,1.0,71.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,12.0,21.0,8.0,No
org.jfree.chart.plot.PlotRenderingInfo,PlotRenderingInfo,Public Class,14.0,0.0,6.0,7.0,2.0,14.0,3.0,20.0,0.0,1.0,96.0,112.0,1.17,15.0,15.0,30.0,28.0,0.0,0.0,48.0,48.0,14.0,4.0,228.0,6.0,1.0,2.0,14.0,63.0,59.0,2.0,0.0,12.0,46.0,71.0,24.0,No
org.jfree.chart.plot.XYPlot,XYPlot,Public Class,300.0,0.0,11.0,9.0,3.0,21.0,8.0,401.0,0.0,7.0,2675.0,2181.0,0.82,85.0,85.0,662.0,624.0,0.0,2.0,1668.0,1461.0,230.0,56.0,5247.0,57.0,2.0,5.0,230.0,97.0,95.0,10.0,15.0,205.0,1191.0,1856.0,623.0,No
org.jfree.chart.ChartRenderingInfo,ChartRenderingInfo,Public Class,12.0,0.0,6.0,6.0,2.0,12.0,3.0,17.0,0.0,1.0,77.0,99.0,1.29,14.0,14.0,23.0,20.0,0.0,0.0,37.0,34.0,12.0,3.0,193.0,6.0,1.0,1.0,12.0,50.0,42.0,2.0,0.0,10.0,32.0,53.0,20.0,No
org.jfree.chart.axis.CategoryAxis,CategoryAxis,Public Class,131.0,1.0,13.0,10.0,3.0,23.0,3.0,105.0,0.0,3.0,718.0,541.0,0.75,55.0,55.0,228.0,180.0,0.0,2.0,473.0,386.0,54.0,11.0,1364.0,14.0,2.0,3.0,54.0,90.0,77.0,5.0,6.0,43.0,345.0,482.0,136.0,No
org.jfree.chart.plot.CategoryPlot,CategoryPlot,Public Class,290.0,0.0,10.0,9.0,2.0,19.0,9.0,376.0,0.0,10.0,2267.0,2036.0,0.9,87.0,87.0,593.0,551.0,0.0,2.0,1372.0,1232.0,220.0,50.0,4677.0,51.0,2.0,6.0,220.0,97.0,95.0,10.0,13.0,197.0,1017.0,1595.0,541.0,No
