Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.lucene.gradle.Checksum,Checksum,Public Class,11.0,1.0,9.0,1.0,2.0,10.0,1.0,22.0,0.0,0.0,119.0,8.0,0.07,18.0,18.0,33.0,25.0,0.0,0.0,65.0,42.0,11.0,3.0,148.0,4.0,2.0,3.0,11.0,73.0,58.0,3.0,0.0,8.0,38.0,64.0,27.0,No
org.apache.lucene.gradle.Checksum.Algorithm,Algorithm,Public Enum Type,4.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,13.0,0.0,0.0,3.0,3.0,8.0,4.0,1.0,0.0,2.0,2.0,4.0,5.0,16.0,1.0,1.0,0.0,4.0,,,0.0,0.0,3.0,4.0,6.0,2.0,No
org.apache.lucene.gradle.datasets.ExtractReuters,ExtractReuters,Public Class,5.0,1.0,15.0,2.0,3.0,19.0,1.0,14.0,2.0,2.0,85.0,15.0,0.18,14.0,14.0,23.0,25.0,0.0,0.0,56.0,47.0,3.0,3.0,113.0,7.0,1.0,6.0,5.0,68.0,36.0,1.0,1.0,3.0,42.0,63.0,16.0,No
org.apache.lucene.gradle.ErrorReportingTestListener,ErrorReportingTestListener,Public Class,8.0,1.0,11.0,1.0,3.0,12.0,3.0,35.0,1.0,2.0,184.0,17.0,0.09,24.0,24.0,59.0,50.0,0.0,0.0,96.0,82.0,7.0,5.0,236.0,11.0,1.0,5.0,8.0,79.0,73.0,1.0,0.0,7.0,77.0,121.0,22.0,No
org.apache.lucene.gradle.ErrorReportingTestListener.OutputHandler,OutputHandler,Private Class,8.0,0.0,6.0,0.0,2.0,7.0,2.0,13.0,0.0,1.0,58.0,5.0,0.09,11.0,11.0,17.0,16.0,0.0,0.0,30.0,25.0,8.0,5.0,76.0,3.0,1.0,2.0,8.0,63.0,53.0,1.0,0.0,7.0,28.0,41.0,14.0,No
org.apache.lucene.gradle.ErrorReportingTestListener.TestKey,TestKey,Public Static Class,5.0,0.0,5.0,0.0,1.0,5.0,1.0,5.0,1.0,0.0,29.0,0.0,0.0,5.0,5.0,11.0,8.0,0.0,0.0,13.0,11.0,4.0,1.0,34.0,2.0,1.0,0.0,5.0,20.0,0.0,1.0,0.0,4.0,12.0,18.0,6.0,No
org.apache.lucene.gradle.SpillWriter,SpillWriter,Public Class,14.0,0.0,6.0,0.0,1.0,6.0,1.0,17.0,0.0,1.0,87.0,0.0,0.0,10.0,10.0,30.0,20.0,0.0,0.0,38.0,35.0,14.0,4.0,104.0,3.0,2.0,2.0,14.0,75.0,7.0,1.0,0.0,13.0,33.0,54.0,19.0,No
org.apache.lucene.gradle.PrefixedWriter,PrefixedWriter,Public Class,6.0,0.0,6.0,1.0,2.0,7.0,1.0,8.0,0.0,1.0,45.0,7.0,0.16,5.0,5.0,16.0,13.0,0.0,0.0,20.0,19.0,6.0,4.0,60.0,3.0,2.0,2.0,6.0,67.0,38.0,0.0,0.0,6.0,20.0,31.0,10.0,No
org.apache.lucene.gradle.StdOutTeeWriter,StdOutTeeWriter,Class,11.0,0.0,5.0,0.0,1.0,5.0,1.0,11.0,0.0,0.0,59.0,1.0,0.02,5.0,5.0,24.0,14.0,0.0,0.0,24.0,23.0,11.0,2.0,71.0,1.0,2.0,0.0,11.0,9.0,9.0,0.0,0.0,11.0,25.0,37.0,11.0,No
org.apache.lucene.gradle.ProfileResults,ProfileResults,Public Class,8.0,0.0,16.0,2.0,4.0,19.0,1.0,8.0,8.0,10.0,142.0,28.0,0.2,21.0,21.0,36.0,39.0,5.0,0.0,106.0,75.0,0.0,0.0,178.0,12.0,1.0,6.0,8.0,0.0,0.0,1.0,0.0,2.0,71.0,100.0,31.0,No
org.apache.lucene.gradle.WrapperDownloader,WrapperDownloader,Public Class,3.0,3.0,24.0,2.0,5.0,28.0,1.0,11.0,1.0,0.0,74.0,10.0,0.14,16.0,16.0,16.0,17.0,0.0,0.0,54.0,44.0,2.0,0.0,94.0,8.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,33.0,50.0,14.0,No
org.apache.lucene.missingdoclet.MissingDoclet,MissingDoclet,Public Class,11.0,2.0,26.0,4.0,5.0,32.0,1.0,37.0,0.0,4.0,299.0,59.0,0.2,26.0,26.0,47.0,64.0,0.0,0.0,218.0,132.0,11.0,7.0,395.0,16.0,2.0,4.0,11.0,83.0,65.0,8.0,0.0,3.0,112.0,180.0,60.0,No
org.apache.lucene.missingdoclet.MissingDoclet.getSupportedOptions.(Anon_1),(Anon_1),Anonymous Class,6.0,0.0,7.0,0.0,2.0,7.0,1.0,5.0,0.0,0.0,40.0,0.0,0.0,7.0,7.0,0.0,6.0,0.0,0.0,33.0,15.0,6.0,0.0,45.0,5.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,14.0,21.0,10.0,No
org.apache.lucene.missingdoclet.MissingDoclet.getSupportedOptions.(Anon_2),(Anon_2),Anonymous Class,6.0,0.0,4.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,26.0,0.0,0.0,9.0,9.0,0.0,6.0,0.0,0.0,20.0,7.0,6.0,0.0,31.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,13.0,6.0,No
org.apache.lucene.missingdoclet.MissingDoclet.getSupportedOptions.(Anon_3),(Anon_3),Anonymous Class,6.0,0.0,4.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,26.0,0.0,0.0,9.0,9.0,0.0,6.0,0.0,0.0,20.0,7.0,6.0,0.0,31.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,7.0,13.0,6.0,No
org.apache.lucene.analysis.tests.ModuleClassDiscovery,ModuleClassDiscovery,Abstract Class,3.0,0.0,18.0,1.0,3.0,18.0,1.0,6.0,2.0,4.0,56.0,2.0,0.04,16.0,16.0,15.0,15.0,0.0,0.0,39.0,23.0,0.0,0.0,64.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,19.0,31.0,10.0,No
org.apache.lucene.tests.util.LuceneTestCase,LuceneTestCase,Public Abstract Class,139.0,1.0,13.0,3.0,3.0,17.0,1.0,311.0,107.0,42.0,2102.0,642.0,0.31,212.0,212.0,588.0,451.0,3.0,808.0,1355.0,977.0,32.0,4.0,3037.0,26.0,2.0,5.0,139.0,99.0,97.0,10.0,4.0,122.0,841.0,1243.0,394.0,No
