Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.xerces.parsers.DOMParser,DOMParser,Public Class,115.0,2.0,19.0,12.0,4.0,32.0,1.0,60.0,0.0,4.0,303.0,210.0,0.69,30.0,30.0,58.0,43.0,0.0,2.0,194.0,126.0,15.0,1.0,557.0,10.0,4.0,3.0,15.0,80.0,73.0,0.0,0.0,15.0,95.0,153.0,62.0,No
org.apache.xerces.xni.QName,QName,Public Class,10.0,0.0,8.0,3.0,2.0,10.0,2.0,22.0,0.0,0.0,86.0,78.0,0.91,2.0,2.0,20.0,18.0,0.0,1.0,47.0,44.0,10.0,4.0,175.0,8.0,1.0,2.0,10.0,45.0,5.0,0.0,0.0,10.0,39.0,61.0,23.0,No
org.apache.xerces.xni.XMLString,XMLString,Public Class,9.0,0.0,6.0,7.0,2.0,12.0,1.0,20.0,0.0,0.0,57.0,103.0,1.81,1.0,1.0,13.0,15.0,0.0,1.0,26.0,28.0,9.0,3.0,170.0,5.0,1.0,2.0,9.0,33.0,11.0,0.0,0.0,9.0,25.0,43.0,18.0,No
org.apache.xerces.xni.XNIException,XNIException,Public Class,4.0,0.0,4.0,5.0,1.0,8.0,1.0,10.0,0.0,1.0,19.0,47.0,2.47,2.0,2.0,8.0,7.0,0.0,2.0,7.0,6.0,4.0,1.0,71.0,1.0,2.0,0.0,4.0,25.0,25.0,0.0,0.0,4.0,8.0,13.0,4.0,No
org.apache.xerces.parsers.AbstractDOMParser,AbstractDOMParser,Public Class,100.0,4.0,31.0,15.0,7.0,49.0,1.0,294.0,0.0,16.0,1523.0,782.0,0.51,61.0,61.0,306.0,245.0,0.0,2.0,1034.0,845.0,46.0,36.0,2551.0,27.0,3.0,6.0,46.0,85.0,82.0,0.0,8.0,38.0,669.0,971.0,319.0,No
org.apache.xerces.dom.TextImpl,TextImpl,Public Class,128.0,3.0,16.0,11.0,4.0,30.0,3.0,89.0,0.0,1.0,308.0,243.0,0.79,6.0,6.0,52.0,48.0,0.0,2.0,211.0,168.0,19.0,0.0,634.0,13.0,4.0,5.0,19.0,0.0,0.0,5.0,1.0,13.0,120.0,196.0,75.0,No
org.apache.xerces.impl.dv.InvalidDatatypeValueException,InvalidDatatypeValueException,Public Class,5.0,0.0,3.0,7.0,1.0,10.0,1.0,3.0,0.0,1.0,6.0,17.0,2.83,1.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,26.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,Yes
org.apache.xerces.impl.dv.SchemaDVFactory,SchemaDVFactory,Public Abstract Class,8.0,0.0,4.0,6.0,1.0,10.0,1.0,11.0,2.0,1.0,27.0,86.0,3.19,7.0,7.0,16.0,10.0,0.0,2.0,7.0,4.0,6.0,0.0,123.0,2.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,7.0,9.0,14.0,4.0,No
org.apache.xerces.impl.dv.ValidatedInfo,ValidatedInfo,Public Class,4.0,0.0,13.0,5.0,4.0,18.0,1.0,10.0,2.0,0.0,60.0,60.0,1.0,4.0,4.0,19.0,20.0,0.0,0.0,36.0,32.0,2.0,6.0,130.0,9.0,1.0,4.0,4.0,67.0,67.0,1.0,0.0,3.0,31.0,46.0,16.0,No
org.apache.xerces.impl.dv.XSFacets,XSFacets,Public Class,1.0,0.0,14.0,0.0,1.0,14.0,1.0,17.0,0.0,0.0,41.0,51.0,1.24,5.0,5.0,27.0,27.0,0.0,0.0,12.0,12.0,1.0,25.0,109.0,1.0,1.0,0.0,1.0,52.0,52.0,0.0,0.0,1.0,37.0,39.0,1.0,No
